,county,candidate,party,votes,race name,state
0,Statewide,Akinyemi Agbede,DEM,"5,567",Governor,CA
1,Statewide,J. Bribiesca,DEM,"9,849",Governor,CA
2,Statewide,Thomas Jefferson Cares,DEM,"5,483",Governor,CA
3,Statewide,John Chiang,DEM,"361,360",Governor,CA
4,Statewide,Delaine Eastin,DEM,"117,833",Governor,CA
5,Statewide,Robert Davidson Griffis,DEM,"6,802",Governor,CA
6,Statewide,Albert Caesar Mezzetti,DEM,"7,158",Governor,CA
7,Statewide,Gavin Newsom,DEM,"1,341,203",Governor,CA
8,Statewide,Amanda Renteria,DEM,"50,683",Governor,CA
9,Statewide,Michael Shellenberger,DEM,"17,443",Governor,CA
10,Statewide,Klement Tinaj,DEM,"3,045",Governor,CA
11,Statewide,Antonio Villaraigosa,DEM,"542,437",Governor,CA
12,Statewide,Travis Allen,REP,"390,832",Governor,CA
13,Statewide,John H. Cox,REP,"1,056,038",Governor,CA
14,Statewide,Yvonne Girard,REP,"13,769",Governor,CA
15,Statewide,Peter Y Liu,REP,"18,168",Governor,CA
16,Statewide,"Robert C. Newman, II",REP,"28,613",Governor,CA
17,Statewide,Christopher N. Carlson,GRN,"4,272",Governor,CA
18,Statewide,Josh Jones,GRN,"8,495",Governor,CA
19,Statewide,Zoltan Istvan,LIB,"7,776",Governor,CA
20,Statewide,Nickolas Wildstar,LIB,"6,385",Governor,CA
21,Statewide,Gloria Estela La Riva,P&F,"10,423",Governor,CA
22,Statewide,Shubham Goel,NPP,"2,214",Governor,CA
23,Statewide,"Hakan ""Hawk"" Mikado",NPP,"3,224",Governor,CA
24,Statewide,Desmond Silveira,NPP,"2,618",Governor,CA
25,Statewide,Jeffrey Edward Taylor,NPP,"2,429",Governor,CA
26,Statewide,Johnny Wattenburg,NPP,"3,043",Governor,CA
27,Alameda,Akinyemi Agbede,DEM,207,Governor,CA
28,Alameda,J. Bribiesca,DEM,265,Governor,CA
29,Alameda,Thomas Jefferson Cares,DEM,217,Governor,CA
30,Alameda,John Chiang,DEM,"14,480",Governor,CA
31,Alameda,Delaine Eastin,DEM,"10,209",Governor,CA
32,Alameda,Robert Davidson Griffis,DEM,83,Governor,CA
33,Alameda,Albert Caesar Mezzetti,DEM,411,Governor,CA
34,Alameda,Gavin Newsom,DEM,"91,254",Governor,CA
35,Alameda,Amanda Renteria,DEM,"2,075",Governor,CA
36,Alameda,Michael Shellenberger,DEM,500,Governor,CA
37,Alameda,Klement Tinaj,DEM,107,Governor,CA
38,Alameda,Antonio Villaraigosa,DEM,"16,207",Governor,CA
39,Alameda,Travis Allen,REP,"7,759",Governor,CA
40,Alameda,John H. Cox,REP,"19,910",Governor,CA
41,Alameda,Yvonne Girard,REP,290,Governor,CA
42,Alameda,Peter Y Liu,REP,466,Governor,CA
43,Alameda,"Robert C. Newman, II",REP,992,Governor,CA
44,Alameda,Christopher N. Carlson,GRN,248,Governor,CA
45,Alameda,Josh Jones,GRN,852,Governor,CA
46,Alameda,Zoltan Istvan,LIB,356,Governor,CA
47,Alameda,Nickolas Wildstar,LIB,250,Governor,CA
48,Alameda,Gloria Estela La Riva,P&F,550,Governor,CA
49,Alameda,Shubham Goel,NPP,149,Governor,CA
50,Alameda,"Hakan ""Hawk"" Mikado",NPP,113,Governor,CA
51,Alameda,Desmond Silveira,NPP,91,Governor,CA
52,Alameda,Jeffrey Edward Taylor,NPP,112,Governor,CA
53,Alameda,Johnny Wattenburg,NPP,81,Governor,CA
54,Alpine,Akinyemi Agbede,DEM,0,Governor,CA
55,Alpine,J. Bribiesca,DEM,0,Governor,CA
