county,district name,candidate,party,votes,race name,state
Districtwide,Orange,John Paul Drayer,DEM,893,State Senate District 32,CA
Districtwide,Orange,Darren Joseph Gendron,DEM,409,State Senate District 32,CA
Districtwide,Orange,Tony Mendoza,DEM,"11,600",State Senate District 32,CA
Districtwide,Orange,Vivian Romero,DEM,"3,504",State Senate District 32,CA
Districtwide,Orange,Vicky Santana,DEM,"5,256",State Senate District 32,CA
Districtwide,Orange,Ali S. Taj,DEM,"4,583",State Senate District 32,CA
Districtwide,Orange,Ion Sarega,REP,"7,413",State Senate District 32,CA
Districtwide,Orange,Rita Topalian,REP,"20,244",State Senate District 32,CA
Los Angeles,Orange,Bob J. Archuleta,DEM,"9,297",State Senate District 32,CA
Los Angeles,Orange,Rudy Bermudez,DEM,"3,401",State Senate District 32,CA
Los Angeles,Orange,Vanessa Delgado,DEM,"12,468",State Senate District 32,CA
Los Angeles,Orange,John Paul Drayer,DEM,824,State Senate District 32,CA
Los Angeles,Orange,Darren Joseph Gendron,DEM,387,State Senate District 32,CA
Los Angeles,Orange,Tony Mendoza,DEM,"10,967",State Senate District 32,CA
Los Angeles,Orange,Vivian Romero,DEM,"3,310",State Senate District 32,CA
Los Angeles,Orange,Vicky Santana,DEM,"4,953",State Senate District 32,CA
Los Angeles,Orange,Ali S. Taj,DEM,"4,261",State Senate District 32,CA
Los Angeles,Orange,Ion Sarega,REP,"6,912",State Senate District 32,CA
Los Angeles,Orange,Rita Topalian,REP,"18,813",State Senate District 32,CA
Orange,Orange,Bob J. Archuleta,DEM,237,State Senate District 32,CA
Orange,Orange,Rudy Bermudez,DEM,169,State Senate District 32,CA
Orange,Orange,Vanessa Delgado,DEM,582,State Senate District 32,CA
Orange,Orange,John Paul Drayer,DEM,69,State Senate District 32,CA
Orange,Orange,Darren Joseph Gendron,DEM,22,State Senate District 32,CA
Orange,Orange,Tony Mendoza,DEM,633,State Senate District 32,CA
Orange,Orange,Vivian Romero,DEM,194,State Senate District 32,CA
Orange,Orange,Vicky Santana,DEM,303,State Senate District 32,CA
Orange,Orange,Ali S. Taj,DEM,322,State Senate District 32,CA
Orange,Orange,Ion Sarega,REP,501,State Senate District 32,CA
Orange,Orange,Rita Topalian,REP,"1,431",State Senate District 32,CA
