,county,candidate,party,votes,race name,state
0,Statewide,Steven Ireland,,"411,447",Superintendent of Public Instruction,CA
1,Statewide,Lily (Espinoza) Ploski,,"592,122",Superintendent of Public Instruction,CA
2,Statewide,Tony K. Thurmond,,"1,200,486",Superintendent of Public Instruction,CA
3,Statewide,Marshall Tuck,,"1,299,330",Superintendent of Public Instruction,CA
4,Alameda,Steven Ireland,,"12,002",Superintendent of Public Instruction,CA
5,Alameda,Lily (Espinoza) Ploski,,"19,173",Superintendent of Public Instruction,CA
6,Alameda,Tony K. Thurmond,,"75,140",Superintendent of Public Instruction,CA
7,Alameda,Marshall Tuck,,"40,078",Superintendent of Public Instruction,CA
8,Alpine,Steven Ireland,,40,Superintendent of Public Instruction,CA
9,Alpine,Lily (Espinoza) Ploski,,55,Superintendent of Public Instruction,CA
10,Alpine,Tony K. Thurmond,,108,Superintendent of Public Instruction,CA
11,Alpine,Marshall Tuck,,90,Superintendent of Public Instruction,CA
12,Amador,Steven Ireland,,654,Superintendent of Public Instruction,CA
13,Amador,Lily (Espinoza) Ploski,,568,Superintendent of Public Instruction,CA
14,Amador,Tony K. Thurmond,,957,Superintendent of Public Instruction,CA
15,Amador,Marshall Tuck,,"1,656",Superintendent of Public Instruction,CA
16,Butte,Steven Ireland,,"4,590",Superintendent of Public Instruction,CA
17,Butte,Lily (Espinoza) Ploski,,"5,589",Superintendent of Public Instruction,CA
18,Butte,Tony K. Thurmond,,"10,493",Superintendent of Public Instruction,CA
19,Butte,Marshall Tuck,,"12,362",Superintendent of Public Instruction,CA
20,Calaveras,Steven Ireland,,"1,475",Superintendent of Public Instruction,CA
21,Calaveras,Lily (Espinoza) Ploski,,"1,377",Superintendent of Public Instruction,CA
22,Calaveras,Tony K. Thurmond,,"2,164",Superintendent of Public Instruction,CA
23,Calaveras,Marshall Tuck,,"3,040",Superintendent of Public Instruction,CA
24,Colusa,Steven Ireland,,412,Superintendent of Public Instruction,CA
25,Colusa,Lily (Espinoza) Ploski,,340,Superintendent of Public Instruction,CA
26,Colusa,Tony K. Thurmond,,515,Superintendent of Public Instruction,CA
27,Colusa,Marshall Tuck,,986,Superintendent of Public Instruction,CA
28,Contra Costa,Steven Ireland,,"10,047",Superintendent of Public Instruction,CA
29,Contra Costa,Lily (Espinoza) Ploski,,"13,586",Superintendent of Public Instruction,CA
30,Contra Costa,Tony K. Thurmond,,"46,763",Superintendent of Public Instruction,CA
31,Contra Costa,Marshall Tuck,,"37,244",Superintendent of Public Instruction,CA
32,Del Norte,Steven Ireland,,888,Superintendent of Public Instruction,CA
33,Del Norte,Lily (Espinoza) Ploski,,726,Superintendent of Public Instruction,CA
34,Del Norte,Tony K. Thurmond,,"1,087",Superintendent of Public Instruction,CA
35,Del Norte,Marshall Tuck,,"1,062",Superintendent of Public Instruction,CA
36,El Dorado,Steven Ireland,,"4,374",Superintendent of Public Instruction,CA
37,El Dorado,Lily (Espinoza) Ploski,,"4,592",Superintendent of Public Instruction,CA
38,El Dorado,Tony K. Thurmond,,"8,493",Superintendent of Public Instruction,CA
39,El Dorado,Marshall Tuck,,"12,218",Superintendent of Public Instruction,CA
40,Fresno,Steven Ireland,,"9,632",Superintendent of Public Instruction,CA
41,Fresno,Lily (Espinoza) Ploski,,"13,843",Superintendent of Public Instruction,CA
42,Fresno,Tony K. Thurmond,,"20,283",Superintendent of Public Instruction,CA
43,Fresno,Marshall Tuck,,"28,154",Superintendent of Public Instruction,CA
44,Glenn,Steven Ireland,,631,Superintendent of Public Instruction,CA
45,Glenn,Lily (Espinoza) Ploski,,428,Superintendent of Public Instruction,CA
46,Glenn,Tony K. Thurmond,,695,Superintendent of Public Instruction,CA
47,Glenn,Marshall Tuck,,"1,294",Superintendent of Public Instruction,CA
48,Humboldt,Steven Ireland,,"2,509",Superintendent of Public Instruction,CA
49,Humboldt,Lily (Espinoza) Ploski,,"3,060",Superintendent of Public Instruction,CA
50,Humboldt,Tony K. Thurmond,,"7,053",Superintendent of Public Instruction,CA
51,Humboldt,Marshall Tuck,,"4,127",Superintendent of Public Instruction,CA
52,Imperial,Steven Ireland,,"1,419",Superintendent of Public Instruction,CA
53,Imperial,Lily (Espinoza) Ploski,,"3,636",Superintendent of Public Instruction,CA
54,Imperial,Tony K. Thurmond,,"2,046",Superintendent of Public Instruction,CA
55,Imperial,Marshall Tuck,,"3,267",Superintendent of Public Instruction,CA
56,Inyo,Steven Ireland,,632,Superintendent of Public Instruction,CA
57,Inyo,Lily (Espinoza) Ploski,,502,Superintendent of Public Instruction,CA
58,Inyo,Tony K. Thurmond,,884,Superintendent of Public Instruction,CA
59,Inyo,Marshall Tuck,,"1,060",Superintendent of Public Instruction,CA
60,Kern,Steven Ireland,,"12,851",Superintendent of Public Instruction,CA
61,Kern,Lily (Espinoza) Ploski,,"11,118",Superintendent of Public Instruction,CA
62,Kern,Tony K. Thurmond,,"15,223",Superintendent of Public Instruction,CA
63,Kern,Marshall Tuck,,"32,820",Superintendent of Public Instruction,CA
64,Kings,Steven Ireland,,"1,746",Superintendent of Public Instruction,CA
65,Kings,Lily (Espinoza) Ploski,,"1,950",Superintendent of Public Instruction,CA
66,Kings,Tony K. Thurmond,,"2,226",Superintendent of Public Instruction,CA
67,Kings,Marshall Tuck,,"6,267",Superintendent of Public Instruction,CA
68,Lake,Steven Ireland,,"1,089",Superintendent of Public Instruction,CA
69,Lake,Lily (Espinoza) Ploski,,"1,305",Superintendent of Public Instruction,CA
70,Lake,Tony K. Thurmond,,"1,959",Superintendent of Public Instruction,CA
71,Lake,Marshall Tuck,,"2,502",Superintendent of Public Instruction,CA
72,Lassen,Steven Ireland,,695,Superintendent of Public Instruction,CA
73,Lassen,Lily (Espinoza) Ploski,,460,Superintendent of Public Instruction,CA
74,Lassen,Tony K. Thurmond,,614,Superintendent of Public Instruction,CA
75,Lassen,Marshall Tuck,,"1,043",Superintendent of Public Instruction,CA
