,county,candidate,party,votes,race name,state
0,Statewide,Xavier Becerra,DEM,"1,736,781",Attorney General,CA
1,Statewide,Dave Jones,DEM,"555,816",Attorney General,CA
2,Statewide,Steven C Bailey,REP,"970,540",Attorney General,CA
3,Statewide,Eric Early,REP,"569,924",Attorney General,CA
4,Alameda,Xavier Becerra,DEM,"91,618",Attorney General,CA
5,Alameda,Dave Jones,DEM,"33,674",Attorney General,CA
6,Alameda,Steven C Bailey,REP,"19,684",Attorney General,CA
7,Alameda,Eric Early,REP,"12,449",Attorney General,CA
8,Alpine,Xavier Becerra,DEM,171,Attorney General,CA
9,Alpine,Dave Jones,DEM,50,Attorney General,CA
10,Alpine,Steven C Bailey,REP,88,Attorney General,CA
11,Alpine,Eric Early,REP,41,Attorney General,CA
12,Amador,Xavier Becerra,DEM,"1,089",Attorney General,CA
13,Amador,Dave Jones,DEM,509,Attorney General,CA
14,Amador,Steven C Bailey,REP,"1,878",Attorney General,CA
15,Amador,Eric Early,REP,709,Attorney General,CA
16,Butte,Xavier Becerra,DEM,"12,987",Attorney General,CA
17,Butte,Dave Jones,DEM,"4,103",Attorney General,CA
18,Butte,Steven C Bailey,REP,"11,655",Attorney General,CA
19,Butte,Eric Early,REP,"7,004",Attorney General,CA
20,Calaveras,Xavier Becerra,DEM,"2,621",Attorney General,CA
21,Calaveras,Dave Jones,DEM,993,Attorney General,CA
22,Calaveras,Steven C Bailey,REP,"3,640",Attorney General,CA
23,Calaveras,Eric Early,REP,"1,684",Attorney General,CA
24,Colusa,Xavier Becerra,DEM,733,Attorney General,CA
25,Colusa,Dave Jones,DEM,173,Attorney General,CA
26,Colusa,Steven C Bailey,REP,"1,058",Attorney General,CA
27,Colusa,Eric Early,REP,509,Attorney General,CA
28,Contra Costa,Xavier Becerra,DEM,"56,612",Attorney General,CA
29,Contra Costa,Dave Jones,DEM,"18,948",Attorney General,CA
30,Contra Costa,Steven C Bailey,REP,"23,585",Attorney General,CA
31,Contra Costa,Eric Early,REP,"13,595",Attorney General,CA
32,Del Norte,Xavier Becerra,DEM,"1,412",Attorney General,CA
33,Del Norte,Dave Jones,DEM,461,Attorney General,CA
34,Del Norte,Steven C Bailey,REP,"1,842",Attorney General,CA
35,Del Norte,Eric Early,REP,689,Attorney General,CA
36,El Dorado,Xavier Becerra,DEM,"11,265",Attorney General,CA
37,El Dorado,Dave Jones,DEM,"3,115",Attorney General,CA
38,El Dorado,Steven C Bailey,REP,"13,644",Attorney General,CA
39,El Dorado,Eric Early,REP,"5,465",Attorney General,CA
40,Fresno,Xavier Becerra,DEM,"29,968",Attorney General,CA
41,Fresno,Dave Jones,DEM,"7,775",Attorney General,CA
42,Fresno,Steven C Bailey,REP,"27,238",Attorney General,CA
43,Fresno,Eric Early,REP,"14,893",Attorney General,CA
44,Glenn,Xavier Becerra,DEM,694,Attorney General,CA
45,Glenn,Dave Jones,DEM,276,Attorney General,CA
46,Glenn,Steven C Bailey,REP,"1,450",Attorney General,CA
47,Glenn,Eric Early,REP,917,Attorney General,CA
48,Humboldt,Xavier Becerra,DEM,"9,529",Attorney General,CA
49,Humboldt,Dave Jones,DEM,"2,508",Attorney General,CA
50,Humboldt,Steven C Bailey,REP,"4,493",Attorney General,CA
51,Humboldt,Eric Early,REP,"2,348",Attorney General,CA
52,Imperial,Xavier Becerra,DEM,"5,202",Attorney General,CA
53,Imperial,Dave Jones,DEM,"1,462",Attorney General,CA
54,Imperial,Steven C Bailey,REP,"2,493",Attorney General,CA
55,Imperial,Eric Early,REP,"1,602",Attorney General,CA
56,Inyo,Xavier Becerra,DEM,"1,310",Attorney General,CA
57,Inyo,Dave Jones,DEM,281,Attorney General,CA
58,Inyo,Steven C Bailey,REP,"1,350",Attorney General,CA
59,Inyo,Eric Early,REP,559,Attorney General,CA
60,Kern,Xavier Becerra,DEM,"19,701",Attorney General,CA
61,Kern,Dave Jones,DEM,"6,818",Attorney General,CA
62,Kern,Steven C Bailey,REP,"35,943",Attorney General,CA
63,Kern,Eric Early,REP,"14,697",Attorney General,CA
64,Kings,Xavier Becerra,DEM,"2,943",Attorney General,CA
65,Kings,Dave Jones,DEM,"1,741",Attorney General,CA
66,Kings,Steven C Bailey,REP,"4,949",Attorney General,CA
67,Kings,Eric Early,REP,"3,338",Attorney General,CA
68,Lake,Xavier Becerra,DEM,"3,006",Attorney General,CA
69,Lake,Dave Jones,DEM,"1,046",Attorney General,CA
70,Lake,Steven C Bailey,REP,"2,407",Attorney General,CA
71,Lake,Eric Early,REP,"1,037",Attorney General,CA
72,Lassen,Xavier Becerra,DEM,565,Attorney General,CA
73,Lassen,Dave Jones,DEM,194,Attorney General,CA
74,Lassen,Steven C Bailey,REP,"1,532",Attorney General,CA
75,Lassen,Eric Early,REP,766,Attorney General,CA
76,Los Angeles,Xavier Becerra,DEM,"483,834",Attorney General,CA
77,Los Angeles,Dave Jones,DEM,"129,123",Attorney General,CA
78,Los Angeles,Steven C Bailey,REP,"164,839",Attorney General,CA
79,Los Angeles,Eric Early,REP,"95,167",Attorney General,CA
80,Madera,Xavier Becerra,DEM,"4,733",Attorney General,CA
81,Madera,Dave Jones,DEM,"1,888",Attorney General,CA
82,Madera,Steven C Bailey,REP,"7,611",Attorney General,CA
83,Madera,Eric Early,REP,"3,314",Attorney General,CA
84,Marin,Xavier Becerra,DEM,"22,797",Attorney General,CA
85,Marin,Dave Jones,DEM,"5,794",Attorney General,CA
86,Marin,Steven C Bailey,REP,"5,602",Attorney General,CA
87,Marin,Eric Early,REP,"2,198",Attorney General,CA
88,Mariposa,Xavier Becerra,DEM,"1,232",Attorney General,CA
89,Mariposa,Dave Jones,DEM,601,Attorney General,CA
90,Mariposa,Steven C Bailey,REP,"1,865",Attorney General,CA
91,Mariposa,Eric Early,REP,959,Attorney General,CA
92,Mendocino,Xavier Becerra,DEM,"4,546",Attorney General,CA
93,Mendocino,Dave Jones,DEM,"1,148",Attorney General,CA
94,Mendocino,Steven C Bailey,REP,"1,831",Attorney General,CA
95,Mendocino,Eric Early,REP,936,Attorney General,CA
96,Merced,Xavier Becerra,DEM,"5,570",Attorney General,CA
97,Merced,Dave Jones,DEM,"3,034",Attorney General,CA
98,Merced,Steven C Bailey,REP,"6,303",Attorney General,CA
99,Merced,Eric Early,REP,"2,410",Attorney General,CA
100,Modoc,Xavier Becerra,DEM,373,Attorney General,CA
101,Modoc,Dave Jones,DEM,138,Attorney General,CA
102,Modoc,Steven C Bailey,REP,999,Attorney General,CA
103,Modoc,Eric Early,REP,535,Attorney General,CA
104,Mono,Xavier Becerra,DEM,"1,211",Attorney General,CA
105,Mono,Dave Jones,DEM,342,Attorney General,CA
106,Mono,Steven C Bailey,REP,842,Attorney General,CA
107,Mono,Eric Early,REP,341,Attorney General,CA
108,Monterey,Xavier Becerra,DEM,"14,368",Attorney General,CA
109,Monterey,Dave Jones,DEM,"5,702",Attorney General,CA
110,Monterey,Steven C Bailey,REP,"7,404",Attorney General,CA
111,Monterey,Eric Early,REP,"3,044",Attorney General,CA
112,Napa,Xavier Becerra,DEM,"7,045",Attorney General,CA
113,Napa,Dave Jones,DEM,"1,935",Attorney General,CA
114,Napa,Steven C Bailey,REP,"2,902",Attorney General,CA
115,Napa,Eric Early,REP,"2,124",Attorney General,CA
116,Nevada,Xavier Becerra,DEM,"6,300",Attorney General,CA
117,Nevada,Dave Jones,DEM,"1,844",Attorney General,CA
118,Nevada,Steven C Bailey,REP,"5,539",Attorney General,CA
119,Nevada,Eric Early,REP,"1,819",Attorney General,CA
