,county,candidate,party,votes,race name,state
86,Napa,Mary Lou Finley,P&F,547,Controller,CA
87,Nevada,Betty T. Yee,DEM,"8,395",Controller,CA
88,Nevada,Konstantinos Roditis,REP,"6,284",Controller,CA
89,Nevada,Mary Lou Finley,P&F,532,Controller,CA
90,Orange,Betty T. Yee,DEM,"160,282",Controller,CA
91,Orange,Konstantinos Roditis,REP,"158,160",Controller,CA
92,Orange,Mary Lou Finley,P&F,"12,778",Controller,CA
93,Placer,Betty T. Yee,DEM,"28,590",Controller,CA
94,Placer,Konstantinos Roditis,REP,"27,050",Controller,CA
95,Placer,Mary Lou Finley,P&F,"1,874",Controller,CA
96,Plumas,Betty T. Yee,DEM,"2,486",Controller,CA
97,Plumas,Konstantinos Roditis,REP,"2,518",Controller,CA
98,Plumas,Mary Lou Finley,P&F,175,Controller,CA
99,Riverside,Betty T. Yee,DEM,"84,446",Controller,CA
100,Riverside,Konstantinos Roditis,REP,"87,275",Controller,CA
101,Riverside,Mary Lou Finley,P&F,"6,626",Controller,CA
102,Sacramento,Betty T. Yee,DEM,"71,484",Controller,CA
103,Sacramento,Konstantinos Roditis,REP,"36,958",Controller,CA
104,Sacramento,Mary Lou Finley,P&F,"4,337",Controller,CA
105,San Benito,Betty T. Yee,DEM,"3,752",Controller,CA
106,San Benito,Konstantinos Roditis,REP,"2,248",Controller,CA
107,San Benito,Mary Lou Finley,P&F,352,Controller,CA
108,San Bernardino,Betty T. Yee,DEM,"78,800",Controller,CA
109,San Bernardino,Konstantinos Roditis,REP,"79,214",Controller,CA
110,San Bernardino,Mary Lou Finley,P&F,"7,701",Controller,CA
111,San Diego,Betty T. Yee,DEM,"217,044",Controller,CA
112,San Diego,Konstantinos Roditis,REP,"159,486",Controller,CA
113,San Diego,Mary Lou Finley,P&F,"11,724",Controller,CA
114,San Francisco,Betty T. Yee,DEM,"105,300",Controller,CA
115,San Francisco,Konstantinos Roditis,REP,"12,830",Controller,CA
116,San Francisco,Mary Lou Finley,P&F,"5,897",Controller,CA
117,San Joaquin,Betty T. Yee,DEM,"30,055",Controller,CA
118,San Joaquin,Konstantinos Roditis,REP,"22,676",Controller,CA
119,San Joaquin,Mary Lou Finley,P&F,"2,534",Controller,CA
120,San Luis Obispo,Betty T. Yee,DEM,"29,185",Controller,CA
121,San Luis Obispo,Konstantinos Roditis,REP,"22,248",Controller,CA
122,San Luis Obispo,Mary Lou Finley,P&F,"1,851",Controller,CA
123,San Mateo,Betty T. Yee,DEM,"45,383",Controller,CA
124,San Mateo,Konstantinos Roditis,REP,"13,083",Controller,CA
125,San Mateo,Mary Lou Finley,P&F,"2,160",Controller,CA
126,Santa Barbara,Betty T. Yee,DEM,"31,757",Controller,CA
127,Santa Barbara,Konstantinos Roditis,REP,"19,482",Controller,CA
128,Santa Barbara,Mary Lou Finley,P&F,"1,751",Controller,CA
129,Santa Clara,Betty T. Yee,DEM,"118,216",Controller,CA
130,Santa Clara,Konstantinos Roditis,REP,"41,404",Controller,CA
131,Santa Clara,Mary Lou Finley,P&F,"5,520",Controller,CA
132,Santa Cruz,Betty T. Yee,DEM,"26,849",Controller,CA
133,Santa Cruz,Konstantinos Roditis,REP,"6,633",Controller,CA
134,Santa Cruz,Mary Lou Finley,P&F,"1,457",Controller,CA
135,Shasta,Betty T. Yee,DEM,"7,104",Controller,CA
136,Shasta,Konstantinos Roditis,REP,"12,102",Controller,CA
137,Shasta,Mary Lou Finley,P&F,995,Controller,CA
138,Sierra,Betty T. Yee,DEM,561,Controller,CA
139,Sierra,Konstantinos Roditis,REP,598,Controller,CA
140,Sierra,Mary Lou Finley,P&F,72,Controller,CA
141,Siskiyou,Betty T. Yee,DEM,"3,155",Controller,CA
142,Siskiyou,Konstantinos Roditis,REP,"3,454",Controller,CA
143,Siskiyou,Mary Lou Finley,P&F,379,Controller,CA
144,Solano,Betty T. Yee,DEM,"39,155",Controller,CA
145,Solano,Konstantinos Roditis,REP,"20,280",Controller,CA
146,Solano,Mary Lou Finley,P&F,"2,808",Controller,CA
147,Sonoma,Betty T. Yee,DEM,"48,411",Controller,CA
148,Sonoma,Konstantinos Roditis,REP,"14,985",Controller,CA
149,Sonoma,Mary Lou Finley,P&F,"2,301",Controller,CA
150,Stanislaus,Betty T. Yee,DEM,"22,666",Controller,CA
151,Stanislaus,Konstantinos Roditis,REP,"19,962",Controller,CA
152,Stanislaus,Mary Lou Finley,P&F,"1,958",Controller,CA
153,Sutter,Betty T. Yee,DEM,"4,187",Controller,CA
154,Sutter,Konstantinos Roditis,REP,"5,212",Controller,CA
155,Sutter,Mary Lou Finley,P&F,489,Controller,CA
156,Tehama,Betty T. Yee,DEM,"3,298",Controller,CA
157,Tehama,Konstantinos Roditis,REP,"5,476",Controller,CA
158,Tehama,Mary Lou Finley,P&F,537,Controller,CA
159,Trinity,Betty T. Yee,DEM,"1,535",Controller,CA
160,Trinity,Konstantinos Roditis,REP,"1,374",Controller,CA
161,Trinity,Mary Lou Finley,P&F,175,Controller,CA
162,Tulare,Betty T. Yee,DEM,"11,995",Controller,CA
