,county,candidate,party,votes,race name,state
0,Statewide,Jeff Bleich,DEM,"353,521",Lieutenant Governor,CA
1,Statewide,Cameron Gharabiklou,DEM,"47,144",Lieutenant Governor,CA
2,Statewide,Ed Hernandez,DEM,"788,972",Lieutenant Governor,CA
3,Statewide,Eleni Kounalakis,DEM,"890,454",Lieutenant Governor,CA
4,Statewide,David Fennell,REP,"315,442",Lieutenant Governor,CA
5,Statewide,Cole Harris,REP,"697,500",Lieutenant Governor,CA
6,Statewide,David R. Hernandez,REP,"235,650",Lieutenant Governor,CA
7,Statewide,Lydia Ortega,REP,"250,476",Lieutenant Governor,CA
8,Statewide,Tim Ferreira,LIB,"56,306",Lieutenant Governor,CA
9,Statewide,Gayle McLaughlin,NPP,"136,461",Lieutenant Governor,CA
10,Statewide,Danny Thomas,NPP,"28,104",Lieutenant Governor,CA
11,Alameda,Jeff Bleich,DEM,"31,606",Lieutenant Governor,CA
12,Alameda,Cameron Gharabiklou,DEM,"1,969",Lieutenant Governor,CA
13,Alameda,Ed Hernandez,DEM,"30,666",Lieutenant Governor,CA
14,Alameda,Eleni Kounalakis,DEM,"49,529",Lieutenant Governor,CA
15,Alameda,David Fennell,REP,"8,525",Lieutenant Governor,CA
16,Alameda,Cole Harris,REP,"11,686",Lieutenant Governor,CA
17,Alameda,David R. Hernandez,REP,"5,619",Lieutenant Governor,CA
18,Alameda,Lydia Ortega,REP,"5,614",Lieutenant Governor,CA
19,Alameda,Tim Ferreira,LIB,"2,157",Lieutenant Governor,CA
20,Alameda,Gayle McLaughlin,NPP,"11,977",Lieutenant Governor,CA
21,Alameda,Danny Thomas,NPP,866,Lieutenant Governor,CA
22,Alpine,Jeff Bleich,DEM,44,Lieutenant Governor,CA
23,Alpine,Cameron Gharabiklou,DEM,6,Lieutenant Governor,CA
24,Alpine,Ed Hernandez,DEM,62,Lieutenant Governor,CA
25,Alpine,Eleni Kounalakis,DEM,87,Lieutenant Governor,CA
26,Alpine,David Fennell,REP,47,Lieutenant Governor,CA
27,Alpine,Cole Harris,REP,35,Lieutenant Governor,CA
28,Alpine,David R. Hernandez,REP,13,Lieutenant Governor,CA
29,Alpine,Lydia Ortega,REP,32,Lieutenant Governor,CA
30,Alpine,Tim Ferreira,LIB,6,Lieutenant Governor,CA
31,Alpine,Gayle McLaughlin,NPP,6,Lieutenant Governor,CA
32,Alpine,Danny Thomas,NPP,4,Lieutenant Governor,CA
33,Amador,Jeff Bleich,DEM,166,Lieutenant Governor,CA
34,Amador,Cameron Gharabiklou,DEM,17,Lieutenant Governor,CA
35,Amador,Ed Hernandez,DEM,413,Lieutenant Governor,CA
36,Amador,Eleni Kounalakis,DEM,900,Lieutenant Governor,CA
37,Amador,David Fennell,REP,686,Lieutenant Governor,CA
38,Amador,Cole Harris,REP,"1,009",Lieutenant Governor,CA
39,Amador,David R. Hernandez,REP,421,Lieutenant Governor,CA
40,Amador,Lydia Ortega,REP,409,Lieutenant Governor,CA
41,Amador,Tim Ferreira,LIB,81,Lieutenant Governor,CA
42,Amador,Gayle McLaughlin,NPP,88,Lieutenant Governor,CA
43,Amador,Danny Thomas,NPP,47,Lieutenant Governor,CA
44,Butte,Jeff Bleich,DEM,"2,316",Lieutenant Governor,CA
45,Butte,Cameron Gharabiklou,DEM,712,Lieutenant Governor,CA
46,Butte,Ed Hernandez,DEM,"5,739",Lieutenant Governor,CA
47,Butte,Eleni Kounalakis,DEM,"6,616",Lieutenant Governor,CA
48,Butte,David Fennell,REP,"4,334",Lieutenant Governor,CA
49,Butte,Cole Harris,REP,"7,770",Lieutenant Governor,CA
50,Butte,David R. Hernandez,REP,"2,430",Lieutenant Governor,CA
51,Butte,Lydia Ortega,REP,"3,346",Lieutenant Governor,CA
52,Butte,Tim Ferreira,LIB,692,Lieutenant Governor,CA
53,Butte,Gayle McLaughlin,NPP,"1,459",Lieutenant Governor,CA
54,Butte,Danny Thomas,NPP,349,Lieutenant Governor,CA
55,Calaveras,Jeff Bleich,DEM,379,Lieutenant Governor,CA
56,Calaveras,Cameron Gharabiklou,DEM,62,Lieutenant Governor,CA
57,Calaveras,Ed Hernandez,DEM,"1,019",Lieutenant Governor,CA
58,Calaveras,Eleni Kounalakis,DEM,"1,913",Lieutenant Governor,CA
59,Calaveras,David Fennell,REP,"1,654",Lieutenant Governor,CA
60,Calaveras,Cole Harris,REP,"1,955",Lieutenant Governor,CA
61,Calaveras,David R. Hernandez,REP,762,Lieutenant Governor,CA
62,Calaveras,Lydia Ortega,REP,808,Lieutenant Governor,CA
63,Calaveras,Tim Ferreira,LIB,208,Lieutenant Governor,CA
64,Calaveras,Gayle McLaughlin,NPP,193,Lieutenant Governor,CA
65,Calaveras,Danny Thomas,NPP,88,Lieutenant Governor,CA
66,Colusa,Jeff Bleich,DEM,74,Lieutenant Governor,CA
67,Colusa,Cameron Gharabiklou,DEM,29,Lieutenant Governor,CA
68,Colusa,Ed Hernandez,DEM,318,Lieutenant Governor,CA
69,Colusa,Eleni Kounalakis,DEM,372,Lieutenant Governor,CA
70,Colusa,David Fennell,REP,496,Lieutenant Governor,CA
71,Colusa,Cole Harris,REP,587,Lieutenant Governor,CA
72,Colusa,David R. Hernandez,REP,186,Lieutenant Governor,CA
73,Colusa,Lydia Ortega,REP,214,Lieutenant Governor,CA
74,Colusa,Tim Ferreira,LIB,53,Lieutenant Governor,CA
75,Colusa,Gayle McLaughlin,NPP,47,Lieutenant Governor,CA
76,Colusa,Danny Thomas,NPP,33,Lieutenant Governor,CA
77,Contra Costa,Jeff Bleich,DEM,"19,771",Lieutenant Governor,CA
78,Contra Costa,Cameron Gharabiklou,DEM,"1,312",Lieutenant Governor,CA
79,Contra Costa,Ed Hernandez,DEM,"19,868",Lieutenant Governor,CA
80,Contra Costa,Eleni Kounalakis,DEM,"30,338",Lieutenant Governor,CA
81,Contra Costa,David Fennell,REP,"10,208",Lieutenant Governor,CA
82,Contra Costa,Cole Harris,REP,"14,137",Lieutenant Governor,CA
83,Contra Costa,David R. Hernandez,REP,"4,889",Lieutenant Governor,CA
84,Contra Costa,Lydia Ortega,REP,"6,893",Lieutenant Governor,CA
85,Contra Costa,Tim Ferreira,LIB,"1,960",Lieutenant Governor,CA
86,Contra Costa,Gayle McLaughlin,NPP,"6,579",Lieutenant Governor,CA
87,Contra Costa,Danny Thomas,NPP,885,Lieutenant Governor,CA
88,Del Norte,Jeff Bleich,DEM,251,Lieutenant Governor,CA
89,Del Norte,Cameron Gharabiklou,DEM,45,Lieutenant Governor,CA
90,Del Norte,Ed Hernandez,DEM,747,Lieutenant Governor,CA
91,Del Norte,Eleni Kounalakis,DEM,645,Lieutenant Governor,CA
92,Del Norte,David Fennell,REP,752,Lieutenant Governor,CA
93,Del Norte,Cole Harris,REP,972,Lieutenant Governor,CA
94,Del Norte,David R. Hernandez,REP,369,Lieutenant Governor,CA
95,Del Norte,Lydia Ortega,REP,310,Lieutenant Governor,CA
96,Del Norte,Tim Ferreira,LIB,72,Lieutenant Governor,CA
97,Del Norte,Gayle McLaughlin,NPP,173,Lieutenant Governor,CA
98,Del Norte,Danny Thomas,NPP,61,Lieutenant Governor,CA
99,El Dorado,Jeff Bleich,DEM,"1,572",Lieutenant Governor,CA
100,El Dorado,Cameron Gharabiklou,DEM,165,Lieutenant Governor,CA
101,El Dorado,Ed Hernandez,DEM,"3,596",Lieutenant Governor,CA
102,El Dorado,Eleni Kounalakis,DEM,"8,093",Lieutenant Governor,CA
103,El Dorado,David Fennell,REP,"5,044",Lieutenant Governor,CA
104,El Dorado,Cole Harris,REP,"6,824",Lieutenant Governor,CA
105,El Dorado,David R. Hernandez,REP,"2,453",Lieutenant Governor,CA
106,El Dorado,Lydia Ortega,REP,"3,714",Lieutenant Governor,CA
107,El Dorado,Tim Ferreira,LIB,583,Lieutenant Governor,CA
108,El Dorado,Gayle McLaughlin,NPP,772,Lieutenant Governor,CA
109,El Dorado,Danny Thomas,NPP,224,Lieutenant Governor,CA
110,Fresno,Jeff Bleich,DEM,"7,278",Lieutenant Governor,CA
111,Fresno,Cameron Gharabiklou,DEM,"1,020",Lieutenant Governor,CA
112,Fresno,Ed Hernandez,DEM,"14,963",Lieutenant Governor,CA
113,Fresno,Eleni Kounalakis,DEM,"9,242",Lieutenant Governor,CA
114,Fresno,David Fennell,REP,"7,763",Lieutenant Governor,CA
115,Fresno,Cole Harris,REP,"18,849",Lieutenant Governor,CA
116,Fresno,David R. Hernandez,REP,"6,094",Lieutenant Governor,CA
117,Fresno,Lydia Ortega,REP,"9,282",Lieutenant Governor,CA
118,Fresno,Tim Ferreira,LIB,"1,314",Lieutenant Governor,CA
119,Fresno,Gayle McLaughlin,NPP,"1,866",Lieutenant Governor,CA
120,Fresno,Danny Thomas,NPP,781,Lieutenant Governor,CA
121,Glenn,Jeff Bleich,DEM,168,Lieutenant Governor,CA
122,Glenn,Cameron Gharabiklou,DEM,84,Lieutenant Governor,CA
123,Glenn,Ed Hernandez,DEM,303,Lieutenant Governor,CA
124,Glenn,Eleni Kounalakis,DEM,266,Lieutenant Governor,CA
125,Glenn,David Fennell,REP,841,Lieutenant Governor,CA
126,Glenn,Cole Harris,REP,862,Lieutenant Governor,CA
127,Glenn,David R. Hernandez,REP,294,Lieutenant Governor,CA
128,Glenn,Lydia Ortega,REP,296,Lieutenant Governor,CA
129,Glenn,Tim Ferreira,LIB,83,Lieutenant Governor,CA
130,Glenn,Gayle McLaughlin,NPP,77,Lieutenant Governor,CA
131,Glenn,Danny Thomas,NPP,44,Lieutenant Governor,CA
132,Humboldt,Jeff Bleich,DEM,"1,563",Lieutenant Governor,CA
133,Humboldt,Cameron Gharabiklou,DEM,346,Lieutenant Governor,CA
134,Humboldt,Ed Hernandez,DEM,"3,706",Lieutenant Governor,CA
135,Humboldt,Eleni Kounalakis,DEM,"4,688",Lieutenant Governor,CA
136,Humboldt,David Fennell,REP,"2,019",Lieutenant Governor,CA
137,Humboldt,Cole Harris,REP,"2,514",Lieutenant Governor,CA
138,Humboldt,David R. Hernandez,REP,914,Lieutenant Governor,CA
139,Humboldt,Lydia Ortega,REP,"1,046",Lieutenant Governor,CA
140,Humboldt,Tim Ferreira,LIB,319,Lieutenant Governor,CA
141,Humboldt,Gayle McLaughlin,NPP,"1,298",Lieutenant Governor,CA
142,Humboldt,Danny Thomas,NPP,114,Lieutenant Governor,CA
143,Imperial,Jeff Bleich,DEM,976,Lieutenant Governor,CA
144,Imperial,Cameron Gharabiklou,DEM,197,Lieutenant Governor,CA
145,Imperial,Ed Hernandez,DEM,"3,518",Lieutenant Governor,CA
146,Imperial,Eleni Kounalakis,DEM,945,Lieutenant Governor,CA
147,Imperial,David Fennell,REP,"1,376",Lieutenant Governor,CA
148,Imperial,Cole Harris,REP,"1,342",Lieutenant Governor,CA
149,Imperial,David R. Hernandez,REP,"1,093",Lieutenant Governor,CA
150,Imperial,Lydia Ortega,REP,920,Lieutenant Governor,CA
151,Imperial,Tim Ferreira,LIB,158,Lieutenant Governor,CA
152,Imperial,Gayle McLaughlin,NPP,206,Lieutenant Governor,CA
153,Imperial,Danny Thomas,NPP,164,Lieutenant Governor,CA
154,Inyo,Jeff Bleich,DEM,244,Lieutenant Governor,CA
155,Inyo,Cameron Gharabiklou,DEM,44,Lieutenant Governor,CA
156,Inyo,Ed Hernandez,DEM,552,Lieutenant Governor,CA
157,Inyo,Eleni Kounalakis,DEM,580,Lieutenant Governor,CA
158,Inyo,David Fennell,REP,555,Lieutenant Governor,CA
159,Inyo,Cole Harris,REP,745,Lieutenant Governor,CA
160,Inyo,David R. Hernandez,REP,249,Lieutenant Governor,CA
161,Inyo,Lydia Ortega,REP,291,Lieutenant Governor,CA
162,Inyo,Tim Ferreira,LIB,87,Lieutenant Governor,CA
163,Inyo,Gayle McLaughlin,NPP,112,Lieutenant Governor,CA
164,Inyo,Danny Thomas,NPP,50,Lieutenant Governor,CA
165,Kern,Jeff Bleich,DEM,"4,821",Lieutenant Governor,CA
166,Kern,Cameron Gharabiklou,DEM,868,Lieutenant Governor,CA
167,Kern,Ed Hernandez,DEM,"11,096",Lieutenant Governor,CA
168,Kern,Eleni Kounalakis,DEM,"6,984",Lieutenant Governor,CA
169,Kern,David Fennell,REP,"10,672",Lieutenant Governor,CA
170,Kern,Cole Harris,REP,"27,600",Lieutenant Governor,CA
171,Kern,David R. Hernandez,REP,"4,691",Lieutenant Governor,CA
172,Kern,Lydia Ortega,REP,"6,090",Lieutenant Governor,CA
173,Kern,Tim Ferreira,LIB,"1,178",Lieutenant Governor,CA
174,Kern,Gayle McLaughlin,NPP,"1,284",Lieutenant Governor,CA
175,Kern,Danny Thomas,NPP,787,Lieutenant Governor,CA
176,Kings,Jeff Bleich,DEM,756,Lieutenant Governor,CA
177,Kings,Cameron Gharabiklou,DEM,97,Lieutenant Governor,CA
178,Kings,Ed Hernandez,DEM,"2,433",Lieutenant Governor,CA
179,Kings,Eleni Kounalakis,DEM,953,Lieutenant Governor,CA
180,Kings,David Fennell,REP,"1,649",Lieutenant Governor,CA
181,Kings,Cole Harris,REP,"3,358",Lieutenant Governor,CA
182,Kings,David R. Hernandez,REP,"1,119",Lieutenant Governor,CA
183,Kings,Lydia Ortega,REP,"1,769",Lieutenant Governor,CA
184,Kings,Tim Ferreira,LIB,192,Lieutenant Governor,CA
185,Kings,Gayle McLaughlin,NPP,250,Lieutenant Governor,CA
186,Kings,Danny Thomas,NPP,104,Lieutenant Governor,CA
187,Lake,Jeff Bleich,DEM,"1,018",Lieutenant Governor,CA
188,Lake,Cameron Gharabiklou,DEM,84,Lieutenant Governor,CA
189,Lake,Ed Hernandez,DEM,826,Lieutenant Governor,CA
190,Lake,Eleni Kounalakis,DEM,"1,983",Lieutenant Governor,CA
191,Lake,David Fennell,REP,898,Lieutenant Governor,CA
192,Lake,Cole Harris,REP,"1,395",Lieutenant Governor,CA
193,Lake,David R. Hernandez,REP,446,Lieutenant Governor,CA
194,Lake,Lydia Ortega,REP,573,Lieutenant Governor,CA
195,Lake,Tim Ferreira,LIB,121,Lieutenant Governor,CA
196,Lake,Gayle McLaughlin,NPP,331,Lieutenant Governor,CA
197,Lake,Danny Thomas,NPP,78,Lieutenant Governor,CA
198,Lassen,Jeff Bleich,DEM,109,Lieutenant Governor,CA
199,Lassen,Cameron Gharabiklou,DEM,21,Lieutenant Governor,CA
200,Lassen,Ed Hernandez,DEM,321,Lieutenant Governor,CA
201,Lassen,Eleni Kounalakis,DEM,298,Lieutenant Governor,CA
202,Lassen,David Fennell,REP,527,Lieutenant Governor,CA
203,Lassen,Cole Harris,REP,953,Lieutenant Governor,CA
204,Lassen,David R. Hernandez,REP,330,Lieutenant Governor,CA
205,Lassen,Lydia Ortega,REP,360,Lieutenant Governor,CA
206,Lassen,Tim Ferreira,LIB,42,Lieutenant Governor,CA
207,Lassen,Gayle McLaughlin,NPP,46,Lieutenant Governor,CA
208,Lassen,Danny Thomas,NPP,23,Lieutenant Governor,CA
209,Los Angeles,Jeff Bleich,DEM,"58,220",Lieutenant Governor,CA
210,Los Angeles,Cameron Gharabiklou,DEM,"11,225",Lieutenant Governor,CA
211,Los Angeles,Ed Hernandez,DEM,"250,522",Lieutenant Governor,CA
212,Los Angeles,Eleni Kounalakis,DEM,"225,863",Lieutenant Governor,CA
213,Los Angeles,David Fennell,REP,"44,468",Lieutenant Governor,CA
214,Los Angeles,Cole Harris,REP,"114,303",Lieutenant Governor,CA
215,Los Angeles,David R. Hernandez,REP,"53,967",Lieutenant Governor,CA
216,Los Angeles,Lydia Ortega,REP,"47,446",Lieutenant Governor,CA
217,Los Angeles,Tim Ferreira,LIB,"10,173",Lieutenant Governor,CA
218,Los Angeles,Gayle McLaughlin,NPP,"31,496",Lieutenant Governor,CA
219,Los Angeles,Danny Thomas,NPP,"6,272",Lieutenant Governor,CA
220,Madera,Jeff Bleich,DEM,868,Lieutenant Governor,CA
221,Madera,Cameron Gharabiklou,DEM,138,Lieutenant Governor,CA
222,Madera,Ed Hernandez,DEM,"3,238",Lieutenant Governor,CA
223,Madera,Eleni Kounalakis,DEM,"1,562",Lieutenant Governor,CA
224,Madera,David Fennell,REP,"2,998",Lieutenant Governor,CA
225,Madera,Cole Harris,REP,"5,263",Lieutenant Governor,CA
226,Madera,David R. Hernandez,REP,"1,278",Lieutenant Governor,CA
227,Madera,Lydia Ortega,REP,"1,336",Lieutenant Governor,CA
228,Madera,Tim Ferreira,LIB,251,Lieutenant Governor,CA
229,Madera,Gayle McLaughlin,NPP,355,Lieutenant Governor,CA
230,Madera,Danny Thomas,NPP,207,Lieutenant Governor,CA
231,Marin,Jeff Bleich,DEM,"8,430",Lieutenant Governor,CA
232,Marin,Cameron Gharabiklou,DEM,242,Lieutenant Governor,CA
233,Marin,Ed Hernandez,DEM,"5,683",Lieutenant Governor,CA
234,Marin,Eleni Kounalakis,DEM,"11,604",Lieutenant Governor,CA
235,Marin,David Fennell,REP,"1,509",Lieutenant Governor,CA
236,Marin,Cole Harris,REP,"2,537",Lieutenant Governor,CA
237,Marin,David R. Hernandez,REP,762,Lieutenant Governor,CA
238,Marin,Lydia Ortega,REP,"2,631",Lieutenant Governor,CA
239,Marin,Tim Ferreira,LIB,462,Lieutenant Governor,CA
240,Marin,Gayle McLaughlin,NPP,"1,846",Lieutenant Governor,CA
241,Marin,Danny Thomas,NPP,195,Lieutenant Governor,CA
242,Mariposa,Jeff Bleich,DEM,241,Lieutenant Governor,CA
243,Mariposa,Cameron Gharabiklou,DEM,30,Lieutenant Governor,CA
244,Mariposa,Ed Hernandez,DEM,756,Lieutenant Governor,CA
245,Mariposa,Eleni Kounalakis,DEM,654,Lieutenant Governor,CA
246,Mariposa,David Fennell,REP,863,Lieutenant Governor,CA
247,Mariposa,Cole Harris,REP,"1,146",Lieutenant Governor,CA
248,Mariposa,David R. Hernandez,REP,352,Lieutenant Governor,CA
249,Mariposa,Lydia Ortega,REP,363,Lieutenant Governor,CA
250,Mariposa,Tim Ferreira,LIB,80,Lieutenant Governor,CA
251,Mariposa,Gayle McLaughlin,NPP,150,Lieutenant Governor,CA
252,Mariposa,Danny Thomas,NPP,48,Lieutenant Governor,CA
253,Mendocino,Jeff Bleich,DEM,"1,206",Lieutenant Governor,CA
254,Mendocino,Cameron Gharabiklou,DEM,129,Lieutenant Governor,CA
255,Mendocino,Ed Hernandez,DEM,"1,384",Lieutenant Governor,CA
256,Mendocino,Eleni Kounalakis,DEM,"2,744",Lieutenant Governor,CA
257,Mendocino,David Fennell,REP,705,Lieutenant Governor,CA
258,Mendocino,Cole Harris,REP,"1,036",Lieutenant Governor,CA
259,Mendocino,David R. Hernandez,REP,448,Lieutenant Governor,CA
260,Mendocino,Lydia Ortega,REP,478,Lieutenant Governor,CA
261,Mendocino,Tim Ferreira,LIB,175,Lieutenant Governor,CA
262,Mendocino,Gayle McLaughlin,NPP,494,Lieutenant Governor,CA
263,Mendocino,Danny Thomas,NPP,72,Lieutenant Governor,CA
264,Merced,Jeff Bleich,DEM,"1,314",Lieutenant Governor,CA
265,Merced,Cameron Gharabiklou,DEM,233,Lieutenant Governor,CA
266,Merced,Ed Hernandez,DEM,"3,565",Lieutenant Governor,CA
267,Merced,Eleni Kounalakis,DEM,"1,974",Lieutenant Governor,CA
268,Merced,David Fennell,REP,"1,687",Lieutenant Governor,CA
269,Merced,Cole Harris,REP,"3,900",Lieutenant Governor,CA
270,Merced,David R. Hernandez,REP,"1,202",Lieutenant Governor,CA
271,Merced,Lydia Ortega,REP,"1,780",Lieutenant Governor,CA
272,Merced,Tim Ferreira,LIB,435,Lieutenant Governor,CA
273,Merced,Gayle McLaughlin,NPP,447,Lieutenant Governor,CA
274,Merced,Danny Thomas,NPP,194,Lieutenant Governor,CA
275,Modoc,Jeff Bleich,DEM,91,Lieutenant Governor,CA
276,Modoc,Cameron Gharabiklou,DEM,16,Lieutenant Governor,CA
277,Modoc,Ed Hernandez,DEM,196,Lieutenant Governor,CA
278,Modoc,Eleni Kounalakis,DEM,154,Lieutenant Governor,CA
279,Modoc,David Fennell,REP,473,Lieutenant Governor,CA
280,Modoc,Cole Harris,REP,560,Lieutenant Governor,CA
281,Modoc,David R. Hernandez,REP,234,Lieutenant Governor,CA
282,Modoc,Lydia Ortega,REP,219,Lieutenant Governor,CA
283,Modoc,Tim Ferreira,LIB,28,Lieutenant Governor,CA
284,Modoc,Gayle McLaughlin,NPP,51,Lieutenant Governor,CA
285,Modoc,Danny Thomas,NPP,20,Lieutenant Governor,CA
286,Mono,Jeff Bleich,DEM,320,Lieutenant Governor,CA
287,Mono,Cameron Gharabiklou,DEM,24,Lieutenant Governor,CA
288,Mono,Ed Hernandez,DEM,511,Lieutenant Governor,CA
289,Mono,Eleni Kounalakis,DEM,516,Lieutenant Governor,CA
290,Mono,David Fennell,REP,408,Lieutenant Governor,CA
291,Mono,Cole Harris,REP,433,Lieutenant Governor,CA
292,Mono,David R. Hernandez,REP,164,Lieutenant Governor,CA
293,Mono,Lydia Ortega,REP,192,Lieutenant Governor,CA
294,Mono,Tim Ferreira,LIB,49,Lieutenant Governor,CA
295,Mono,Gayle McLaughlin,NPP,101,Lieutenant Governor,CA
296,Mono,Danny Thomas,NPP,15,Lieutenant Governor,CA
297,Monterey,Jeff Bleich,DEM,"3,036",Lieutenant Governor,CA
298,Monterey,Cameron Gharabiklou,DEM,247,Lieutenant Governor,CA
299,Monterey,Ed Hernandez,DEM,"7,345",Lieutenant Governor,CA
300,Monterey,Eleni Kounalakis,DEM,"8,276",Lieutenant Governor,CA
