county,district name,candidate,party,votes,race name,state
Los Angeles,Los Angeles,Luz Maria Rivas,DEM,"20,598",State Assembly District 39,CA
Los Angeles,Los Angeles,Ricardo Antonio Benitez,REP,"8,926",State Assembly District 39,CA
