county,district name,candidate,party,votes,race name,state
Districtwide,District 2,"Veronica ""Roni"" Jacobi",DEM,"26,673",State Senate,CA
Districtwide,District 2,Mike McGuire,DEM,"83,940",State Senate,CA
Del Norte,District 2,"Veronica ""Roni"" Jacobi",DEM,907,State Senate,CA
Del Norte,District 2,Mike McGuire,DEM,"2,465",State Senate,CA
Humboldt,District 2,"Veronica ""Roni"" Jacobi",DEM,"3,992",State Senate,CA
Humboldt,District 2,Mike McGuire,DEM,"12,120",State Senate,CA
Lake,District 2,"Veronica ""Roni"" Jacobi",DEM,"1,833",State Senate,CA
Lake,District 2,Mike McGuire,DEM,"4,543",State Senate,CA
Marin,District 2,"Veronica ""Roni"" Jacobi",DEM,"8,214",State Senate,CA
Marin,District 2,Mike McGuire,DEM,"24,225",State Senate,CA
Mendocino,District 2,"Veronica ""Roni"" Jacobi",DEM,"2,038",State Senate,CA
Mendocino,District 2,Mike McGuire,DEM,"5,785",State Senate,CA
Sonoma,District 2,"Veronica ""Roni"" Jacobi",DEM,"9,043",State Senate,CA
Sonoma,District 2,Mike McGuire,DEM,"33,058",State Senate,CA
Trinity,District 2,"Veronica ""Roni"" Jacobi",DEM,646,State Senate,CA
Trinity,District 2,Mike McGuire,DEM,"1,744",State Senate,CA
Districtwide,District 4,Phillip Kim,DEM,"23,196",State Senate,CA
Districtwide,District 4,"Michael ""Mike"" Worley",DEM,"20,958",State Senate,CA
Districtwide,District 4,James Nielsen,REP,"67,849",State Senate,CA
Butte,District 4,Phillip Kim,DEM,"7,418",State Senate,CA
Butte,District 4,"Michael ""Mike"" Worley",DEM,"7,993",State Senate,CA
Butte,District 4,James Nielsen,REP,"20,187",State Senate,CA
Colusa,District 4,Phillip Kim,DEM,307,State Senate,CA
Colusa,District 4,"Michael ""Mike"" Worley",DEM,442,State Senate,CA
Colusa,District 4,James Nielsen,REP,"1,750",State Senate,CA
Glenn,District 4,Phillip Kim,DEM,376,State Senate,CA
Glenn,District 4,"Michael ""Mike"" Worley",DEM,440,State Senate,CA
Glenn,District 4,James Nielsen,REP,"2,550",State Senate,CA
Placer,District 4,Phillip Kim,DEM,"4,428",State Senate,CA
Placer,District 4,"Michael ""Mike"" Worley",DEM,"3,441",State Senate,CA
Placer,District 4,James Nielsen,REP,"12,081",State Senate,CA
Sacramento,District 4,Phillip Kim,DEM,"7,133",State Senate,CA
Sacramento,District 4,"Michael ""Mike"" Worley",DEM,"4,577",State Senate,CA
Sacramento,District 4,James Nielsen,REP,"13,226",State Senate,CA
Sutter,District 4,Phillip Kim,DEM,"1,443",State Senate,CA
Sutter,District 4,"Michael ""Mike"" Worley",DEM,"1,635",State Senate,CA
