,county,candidate,party,votes,race name,state
84,Kings,Kevin Akin,P&F,270,Treasurer,CA
85,Lake,Fiona Ma,DEM,"3,000",Treasurer,CA
86,Lake,Vivek Viswanathan,DEM,945,Treasurer,CA
87,Lake,Greg Conlon,REP,"1,669",Treasurer,CA
88,Lake,Jack M. Guerrero,REP,"1,737",Treasurer,CA
89,Lake,Kevin Akin,P&F,197,Treasurer,CA
90,Lassen,Fiona Ma,DEM,545,Treasurer,CA
91,Lassen,Vivek Viswanathan,DEM,205,Treasurer,CA
92,Lassen,Greg Conlon,REP,"1,114",Treasurer,CA
93,Lassen,Jack M. Guerrero,REP,"1,099",Treasurer,CA
94,Lassen,Kevin Akin,P&F,55,Treasurer,CA
95,Los Angeles,Fiona Ma,DEM,"414,998",Treasurer,CA
96,Los Angeles,Vivek Viswanathan,DEM,"132,853",Treasurer,CA
97,Los Angeles,Greg Conlon,REP,"134,175",Treasurer,CA
98,Los Angeles,Jack M. Guerrero,REP,"146,269",Treasurer,CA
99,Los Angeles,Kevin Akin,P&F,"18,411",Treasurer,CA
100,Madera,Fiona Ma,DEM,"4,524",Treasurer,CA
101,Madera,Vivek Viswanathan,DEM,"1,456",Treasurer,CA
102,Madera,Greg Conlon,REP,"5,304",Treasurer,CA
103,Madera,Jack M. Guerrero,REP,"5,586",Treasurer,CA
104,Madera,Kevin Akin,P&F,310,Treasurer,CA
105,Marin,Fiona Ma,DEM,"22,136",Treasurer,CA
106,Marin,Vivek Viswanathan,DEM,"4,651",Treasurer,CA
107,Marin,Greg Conlon,REP,"3,749",Treasurer,CA
108,Marin,Jack M. Guerrero,REP,"4,265",Treasurer,CA
109,Marin,Kevin Akin,P&F,577,Treasurer,CA
110,Mariposa,Fiona Ma,DEM,"1,381",Treasurer,CA
111,Mariposa,Vivek Viswanathan,DEM,349,Treasurer,CA
112,Mariposa,Greg Conlon,REP,"1,517",Treasurer,CA
113,Mariposa,Jack M. Guerrero,REP,"1,307",Treasurer,CA
114,Mariposa,Kevin Akin,P&F,88,Treasurer,CA
115,Mendocino,Fiona Ma,DEM,"4,540",Treasurer,CA
116,Mendocino,Vivek Viswanathan,DEM,923,Treasurer,CA
117,Mendocino,Greg Conlon,REP,"1,526",Treasurer,CA
118,Mendocino,Jack M. Guerrero,REP,"1,221",Treasurer,CA
