"","election_name","election_date","election_type","locality_name","locality_code","office_name","referendum_title","precinct_name","precinct_code","candidate_name","last_name","candidateId","officeId","referendumId","districtId","DESCRIPTION","district_type","party","office_ballot_order","candidate_ballot_order","total_votes","negative_votes","in_precinct","V24"
"1","2018 June Democratic Primary","2018-06-12 00:00:00.000","Primary","ALEXANDRIA CITY",510,"Mayor",NA,"## Provisional","###PROV","Allison Silberberg","SILBERBERG",1062249779,1703742214,NA,1930800568,"ALEXANDRIA CITY","Locality","",19,1,3,NA,"## Provisional",NA
"2","2018 June Democratic Primary","2018-06-12 00:00:00.000","Primary","ALEXANDRIA CITY",510,"Mayor",NA,"## Provisional","###PROV","Justin M. Wilson","WILSON",1787035415,1703742214,NA,1930800568,"ALEXANDRIA CITY","Locality","",19,2,9,NA,"## Provisional",NA
"3","2018 June Democratic Primary","2018-06-12 00:00:00.000","Primary","ALEXANDRIA CITY",510,"Mayor",NA,"# AB - Central Absentee Precinct","##CAP","Allison Silberberg","SILBERBERG",1062249779,1703742214,NA,1930800568,"ALEXANDRIA CITY","Locality","",19,1,1007,NA,"# AB - Central Absentee Precinct",NA
"4","2018 June Democratic Primary","2018-06-12 00:00:00.000","Primary","ALEXANDRIA CITY",510,"Mayor",NA,"# AB - Central Absentee Precinct","##CAP","Justin M. Wilson","WILSON",1787035415,1703742214,NA,1930800568,"ALEXANDRIA CITY","Locality","",19,2,977,NA,"# AB - Central Absentee Precinct",NA
"5","2018 June Democratic Primary","2018-06-12 00:00:00.000","Primary","ALEXANDRIA CITY",510,"Mayor",NA,"101 - LADREY SENIOR BUILDING","0101","Allison Silberberg","SILBERBERG",1062249779,1703742214,NA,1930800568,"ALEXANDRIA CITY","Locality","",19,1,362,NA,"101 - LADREY SENIOR BUILDING",NA
"6","2018 June Democratic Primary","2018-06-12 00:00:00.000","Primary","ALEXANDRIA CITY",510,"Mayor",NA,"101 - LADREY SENIOR BUILDING","0101","Justin M. Wilson","WILSON",1787035415,1703742214,NA,1930800568,"ALEXANDRIA CITY","Locality","",19,2,283,NA,"101 - LADREY SENIOR BUILDING",NA
"7","2018 June Democratic Primary","2018-06-12 00:00:00.000","Primary","ALEXANDRIA CITY",510,"Mayor",NA,"102 - CITY HALL","0102","Allison Silberberg","SILBERBERG",1062249779,1703742214,NA,1930800568,"ALEXANDRIA CITY","Locality","",19,1,587,NA,"102 - CITY HALL",NA
"8","2018 June Democratic Primary","2018-06-12 00:00:00.000","Primary","ALEXANDRIA CITY",510,"Mayor",NA,"102 - CITY HALL","0102","Justin M. Wilson","WILSON",1787035415,1703742214,NA,1930800568,"ALEXANDRIA CITY","Locality","",19,2,259,NA,"102 - CITY HALL",NA
"9","2018 June Democratic Primary","2018-06-12 00:00:00.000","Primary","ALEXANDRIA CITY",510,"Mayor",NA,"103 - LYLES CROUCH SCHOOL","0103","Allison Silberberg","SILBERBERG",1062249779,1703742214,NA,1930800568,"ALEXANDRIA CITY","Locality","",19,1,537,NA,"103 - LYLES CROUCH SCHOOL",NA
"10","2018 June Democratic Primary","2018-06-12 00:00:00.000","Primary","ALEXANDRIA CITY",510,"Mayor",NA,"103 - LYLES CROUCH SCHOOL","0103","Justin M. Wilson","WILSON",1787035415,1703742214,NA,1930800568,"ALEXANDRIA CITY","Locality","",19,2,348,NA,"103 - LYLES CROUCH SCHOOL",NA
"11","2018 June Democratic Primary","2018-06-12 00:00:00.000","Primary","ALEXANDRIA CITY",510,"Mayor",NA,"104 - DURANT CENTER","0104","Allison Silberberg","SILBERBERG",1062249779,1703742214,NA,1930800568,"ALEXANDRIA CITY","Locality","",19,1,338,NA,"104 - DURANT CENTER",NA
"12","2018 June Democratic Primary","2018-06-12 00:00:00.000","Primary","ALEXANDRIA CITY",510,"Mayor",NA,"104 - DURANT CENTER","0104","Justin M. Wilson","WILSON",1787035415,1703742214,NA,1930800568,"ALEXANDRIA CITY","Locality","",19,2,424,NA,"104 - DURANT CENTER",NA
"13","2018 June Democratic Primary","2018-06-12 00:00:00.000","Primary","ALEXANDRIA CITY",510,"Mayor",NA,"105 - LEE CENTER","0105","Allison Silberberg","SILBERBERG",1062249779,1703742214,NA,1930800568,"ALEXANDRIA CITY","Locality","",19,1,339,NA,"105 - LEE CENTER",NA
"14","2018 June Democratic Primary","2018-06-12 00:00:00.000","Primary","ALEXANDRIA CITY",510,"Mayor",NA,"105 - LEE CENTER","0105","Justin M. Wilson","WILSON",1787035415,1703742214,NA,1930800568,"ALEXANDRIA CITY","Locality","",19,2,391,NA,"105 - LEE CENTER",NA
"15","2018 June Democratic Primary","2018-06-12 00:00:00.000","Primary","ALEXANDRIA CITY",510,"Mayor",NA,"106 - CORA KELLY","0106","Allison Silberberg","SILBERBERG",1062249779,1703742214,NA,1930800568,"ALEXANDRIA CITY","Locality","",19,1,352,NA,"106 - CORA KELLY",NA
"16","2018 June Democratic Primary","2018-06-12 00:00:00.000","Primary","ALEXANDRIA CITY",510,"Mayor",NA,"106 - CORA KELLY","0106","Justin M. Wilson","WILSON",1787035415,1703742214,NA,1930800568,"ALEXANDRIA CITY","Locality","",19,2,466,NA,"106 - CORA KELLY",NA
"17","2018 June Democratic Primary","2018-06-12 00:00:00.000","Primary","ALEXANDRIA CITY",510,"Mayor",NA,"107 - MT VERNON RECREATION CENTER","0107","Allison Silberberg","SILBERBERG",1062249779,1703742214,NA,1930800568,"ALEXANDRIA CITY","Locality","",19,1,439,NA,"107 - MT VERNON RECREATION CENTER",NA
"18","2018 June Democratic Primary","2018-06-12 00:00:00.000","Primary","ALEXANDRIA CITY",510,"Mayor",NA,"107 - MT VERNON RECREATION CENTER","0107","Justin M. Wilson","WILSON",1787035415,1703742214,NA,1930800568,"ALEXANDRIA CITY","Locality","",19,2,1031,NA,"107 - MT VERNON RECREATION CENTER",NA
"19","2018 June Democratic Primary","2018-06-12 00:00:00.000","Primary","ALEXANDRIA CITY",510,"Mayor",NA,"108 - GEORGE WASHINGTON MIDDLE SCH","0108","Allison Silberberg","SILBERBERG",1062249779,1703742214,NA,1930800568,"ALEXANDRIA CITY","Locality","",19,1,406,NA,"108 - GEORGE WASHINGTON MIDDLE SCH",NA
"20","2018 June Democratic Primary","2018-06-12 00:00:00.000","Primary","ALEXANDRIA CITY",510,"Mayor",NA,"108 - GEORGE WASHINGTON MIDDLE SCH","0108","Justin M. Wilson","WILSON",1787035415,1703742214,NA,1930800568,"ALEXANDRIA CITY","Locality","",19,2,881,NA,"108 - GEORGE WASHINGTON MIDDLE SCH",NA
"21","2018 June Democratic Primary","2018-06-12 00:00:00.000","Primary","ALEXANDRIA CITY",510,"Mayor",NA,"109 - FIRE DEPARTMENT HEADQUARTERS","0109","Allison Silberberg","SILBERBERG",1062249779,1703742214,NA,1930800568,"ALEXANDRIA CITY","Locality","",19,1,267,NA,"109 - FIRE DEPARTMENT HEADQUARTERS",NA
"22","2018 June Democratic Primary","2018-06-12 00:00:00.000","Primary","ALEXANDRIA CITY",510,"Mayor",NA,"109 - FIRE DEPARTMENT HEADQUARTERS","0109","Justin M. Wilson","WILSON",1787035415,1703742214,NA,1930800568,"ALEXANDRIA CITY","Locality","",19,2,327,NA,"109 - FIRE DEPARTMENT HEADQUARTERS",NA
"23","2018 June Democratic Primary","2018-06-12 00:00:00.000","Primary","ALEXANDRIA CITY",510,"Mayor",NA,"110 - CHARLES HOUSTON CENTER","0110","Allison Silberberg","SILBERBERG",1062249779,1703742214,NA,1930800568,"ALEXANDRIA CITY","Locality","",19,1,263,NA,"110 - CHARLES HOUSTON CENTER",NA
"24","2018 June Democratic Primary","2018-06-12 00:00:00.000","Primary","ALEXANDRIA CITY",510,"Mayor",NA,"110 - CHARLES HOUSTON CENTER","0110","Justin M. Wilson","WILSON",1787035415,1703742214,NA,1930800568,"ALEXANDRIA CITY","Locality","",19,2,379,NA,"110 - CHARLES HOUSTON CENTER",NA
"25","2018 June Democratic Primary","2018-06-12 00:00:00.000","Primary","ALEXANDRIA CITY",510,"Mayor",NA,"111 - POTOMAC YARD","0111","Allison Silberberg","SILBERBERG",1062249779,1703742214,NA,1930800568,"ALEXANDRIA CITY","Locality","",19,1,118,NA,"111 - POTOMAC YARD",NA
"26","2018 June Democratic Primary","2018-06-12 00:00:00.000","Primary","ALEXANDRIA CITY",510,"Mayor",NA,"111 - POTOMAC YARD","0111","Justin M. Wilson","WILSON",1787035415,1703742214,NA,1930800568,"ALEXANDRIA CITY","Locality","",19,2,145,NA,"111 - POTOMAC YARD",NA
