"Election","Jurisdiction Name","Reporting County Name","DataEntry Jurisdiction Name","DataEntry Level Name","Office","Office Category","Ballot Order","Name on Ballot","Political Party","Winner","Number of Office Seats","Total Votes"
"2018 Primary Election","Statewide","Adams","Adams","Locality","United States Senator From Indiana","US Senator","30","Joe Donnelly","Democratic","Yes","1","681"
"2018 Primary Election","Statewide","Adams","Adams","Locality","United States Senator From Indiana","US Senator","30","Luke Messer","Republican","No","1","848"
"2018 Primary Election","Statewide","Adams","Adams","Locality","United States Senator From Indiana","US Senator","30","Mike Braun","Republican","Yes","1","1639"
"2018 Primary Election","Statewide","Adams","Adams","Locality","United States Senator From Indiana","US Senator","30","Todd Rokita","Republican","No","1","1276"
"2018 Primary Election","Statewide","Allen","Allen","Locality","United States Senator From Indiana","US Senator","30","Joe Donnelly","Democratic","Yes","1","13224"
"2018 Primary Election","Statewide","Allen","Allen","Locality","United States Senator From Indiana","US Senator","30","Luke Messer","Republican","No","1","5248"
"2018 Primary Election","Statewide","Allen","Allen","Locality","United States Senator From Indiana","US Senator","30","Mike Braun","Republican","Yes","1","9310"
"2018 Primary Election","Statewide","Allen","Allen","Locality","United States Senator From Indiana","US Senator","30","Todd Rokita","Republican","No","1","8084"
"2018 Primary Election","Statewide","Bartholomew","Bartholomew","Locality","United States Senator From Indiana","US Senator","30","Joe Donnelly","Democratic","Yes","1","2766"
"2018 Primary Election","Statewide","Bartholomew","Bartholomew","Locality","United States Senator From Indiana","US Senator","30","Luke Messer","Republican","No","1","4148"
"2018 Primary Election","Statewide","Bartholomew","Bartholomew","Locality","United States Senator From Indiana","US Senator","30","Mike Braun","Republican","Yes","1","2908"
"2018 Primary Election","Statewide","Bartholomew","Bartholomew","Locality","United States Senator From Indiana","US Senator","30","Todd Rokita","Republican","No","1","1823"
"2018 Primary Election","Statewide","Benton","Benton","Locality","United States Senator From Indiana","US Senator","30","Joe Donnelly","Democratic","Yes","1","127"
"2018 Primary Election","Statewide","Benton","Benton","Locality","United States Senator From Indiana","US Senator","30","Luke Messer","Republican","No","1","190"
"2018 Primary Election","Statewide","Benton","Benton","Locality","United States Senator From Indiana","US Senator","30","Mike Braun","Republican","Yes","1","350"
"2018 Primary Election","Statewide","Benton","Benton","Locality","United States Senator From Indiana","US Senator","30","Todd Rokita","Republican","No","1","457"
"2018 Primary Election","Statewide","Blackford","Blackford","Locality","United States Senator From Indiana","US Senator","30","Joe Donnelly","Democratic","Yes","1","407"
"2018 Primary Election","Statewide","Blackford","Blackford","Locality","United States Senator From Indiana","US Senator","30","Luke Messer","Republican","No","1","541"
"2018 Primary Election","Statewide","Blackford","Blackford","Locality","United States Senator From Indiana","US Senator","30","Mike Braun","Republican","Yes","1","596"
"2018 Primary Election","Statewide","Blackford","Blackford","Locality","United States Senator From Indiana","US Senator","30","Todd Rokita","Republican","No","1","486"
"2018 Primary Election","Statewide","Boone","Boone","Locality","United States Senator From Indiana","US Senator","30","Joe Donnelly","Democratic","Yes","1","1583"
"2018 Primary Election","Statewide","Boone","Boone","Locality","United States Senator From Indiana","US Senator","30","Luke Messer","Republican","No","1","1970"
"2018 Primary Election","Statewide","Boone","Boone","Locality","United States Senator From Indiana","US Senator","30","Mike Braun","Republican","Yes","1","3521"
"2018 Primary Election","Statewide","Boone","Boone","Locality","United States Senator From Indiana","US Senator","30","Todd Rokita","Republican","No","1","2664"
"2018 Primary Election","Statewide","Brown","Brown","Locality","United States Senator From Indiana","US Senator","30","Joe Donnelly","Democratic","Yes","1","1118"
"2018 Primary Election","Statewide","Brown","Brown","Locality","United States Senator From Indiana","US Senator","30","Luke Messer","Republican","No","1","574"
"2018 Primary Election","Statewide","Brown","Brown","Locality","United States Senator From Indiana","US Senator","30","Mike Braun","Republican","Yes","1","928"
"2018 Primary Election","Statewide","Brown","Brown","Locality","United States Senator From Indiana","US Senator","30","Todd Rokita","Republican","No","1","730"
"2018 Primary Election","Statewide","Carroll","Carroll","Locality","United States Senator From Indiana","US Senator","30","Joe Donnelly","Democratic","Yes","1","451"
"2018 Primary Election","Statewide","Carroll","Carroll","Locality","United States Senator From Indiana","US Senator","30","Luke Messer","Republican","No","1","511"
"2018 Primary Election","Statewide","Carroll","Carroll","Locality","United States Senator From Indiana","US Senator","30","Mike Braun","Republican","Yes","1","956"
"2018 Primary Election","Statewide","Carroll","Carroll","Locality","United States Senator From Indiana","US Senator","30","Todd Rokita","Republican","No","1","1045"
"2018 Primary Election","Statewide","Cass","Cass","Locality","United States Senator From Indiana","US Senator","30","Joe Donnelly","Democratic","Yes","1","1032"
"2018 Primary Election","Statewide","Cass","Cass","Locality","United States Senator From Indiana","US Senator","30","Luke Messer","Republican","No","1","837"
"2018 Primary Election","Statewide","Cass","Cass","Locality","United States Senator From Indiana","US Senator","30","Mike Braun","Republican","Yes","1","2093"
"2018 Primary Election","Statewide","Cass","Cass","Locality","United States Senator From Indiana","US Senator","30","Todd Rokita","Republican","No","1","1808"
"2018 Primary Election","Statewide","Clark","Clark","Locality","United States Senator From Indiana","US Senator","30","Joe Donnelly","Democratic","Yes","1","5823"
"2018 Primary Election","Statewide","Clark","Clark","Locality","United States Senator From Indiana","US Senator","30","Luke Messer","Republican","No","1","1912"
"2018 Primary Election","Statewide","Clark","Clark","Locality","United States Senator From Indiana","US Senator","30","Mike Braun","Republican","Yes","1","2716"
"2018 Primary Election","Statewide","Clark","Clark","Locality","United States Senator From Indiana","US Senator","30","Todd Rokita","Republican","No","1","1816"
"2018 Primary Election","Statewide","Clay","Clay","Locality","United States Senator From Indiana","US Senator","30","Joe Donnelly","Democratic","Yes","1","944"
"2018 Primary Election","Statewide","Clay","Clay","Locality","United States Senator From Indiana","US Senator","30","Luke Messer","Republican","No","1","620"
"2018 Primary Election","Statewide","Clay","Clay","Locality","United States Senator From Indiana","US Senator","30","Mike Braun","Republican","Yes","1","1561"
"2018 Primary Election","Statewide","Clay","Clay","Locality","United States Senator From Indiana","US Senator","30","Todd Rokita","Republican","No","1","679"
"2018 Primary Election","Statewide","Clinton","Clinton","Locality","United States Senator From Indiana","US Senator","30","Joe Donnelly","Democratic","Yes","1","500"
"2018 Primary Election","Statewide","Clinton","Clinton","Locality","United States Senator From Indiana","US Senator","30","Luke Messer","Republican","No","1","919"
"2018 Primary Election","Statewide","Clinton","Clinton","Locality","United States Senator From Indiana","US Senator","30","Mike Braun","Republican","Yes","1","1437"
"2018 Primary Election","Statewide","Clinton","Clinton","Locality","United States Senator From Indiana","US Senator","30","Todd Rokita","Republican","No","1","2022"
"2018 Primary Election","Statewide","Crawford","Crawford","Locality","United States Senator From Indiana","US Senator","30","Joe Donnelly","Democratic","Yes","1","687"
"2018 Primary Election","Statewide","Crawford","Crawford","Locality","United States Senator From Indiana","US Senator","30","Luke Messer","Republican","No","1","469"
"2018 Primary Election","Statewide","Crawford","Crawford","Locality","United States Senator From Indiana","US Senator","30","Mike Braun","Republican","Yes","1","646"
"2018 Primary Election","Statewide","Crawford","Crawford","Locality","United States Senator From Indiana","US Senator","30","Todd Rokita","Republican","No","1","248"
"2018 Primary Election","Statewide","Daviess","Daviess","Locality","United States Senator From Indiana","US Senator","30","Joe Donnelly","Democratic","Yes","1","337"
"2018 Primary Election","Statewide","Daviess","Daviess","Locality","United States Senator From Indiana","US Senator","30","Luke Messer","Republican","No","1","1298"
"2018 Primary Election","Statewide","Daviess","Daviess","Locality","United States Senator From Indiana","US Senator","30","Mike Braun","Republican","Yes","1","3214"
"2018 Primary Election","Statewide","Daviess","Daviess","Locality","United States Senator From Indiana","US Senator","30","Todd Rokita","Republican","No","1","714"
"2018 Primary Election","Statewide","Dearborn","Dearborn","Locality","United States Senator From Indiana","US Senator","30","Joe Donnelly","Democratic","Yes","1","901"
"2018 Primary Election","Statewide","Dearborn","Dearborn","Locality","United States Senator From Indiana","US Senator","30","Luke Messer","Republican","No","1","3444"
"2018 Primary Election","Statewide","Dearborn","Dearborn","Locality","United States Senator From Indiana","US Senator","30","Mike Braun","Republican","Yes","1","1064"
"2018 Primary Election","Statewide","Dearborn","Dearborn","Locality","United States Senator From Indiana","US Senator","30","Todd Rokita","Republican","No","1","874"
"2018 Primary Election","Statewide","Decatur","Decatur","Locality","United States Senator From Indiana","US Senator","30","Joe Donnelly","Democratic","Yes","1","497"
"2018 Primary Election","Statewide","Decatur","Decatur","Locality","United States Senator From Indiana","US Senator","30","Luke Messer","Republican","No","1","2732"
"2018 Primary Election","Statewide","Decatur","Decatur","Locality","United States Senator From Indiana","US Senator","30","Mike Braun","Republican","Yes","1","937"
"2018 Primary Election","Statewide","Decatur","Decatur","Locality","United States Senator From Indiana","US Senator","30","Todd Rokita","Republican","No","1","481"
"2018 Primary Election","Statewide","Dekalb","Dekalb","Locality","United States Senator From Indiana","US Senator","30","Joe Donnelly","Democratic","Yes","1","762"
"2018 Primary Election","Statewide","Dekalb","Dekalb","Locality","United States Senator From Indiana","US Senator","30","Luke Messer","Republican","No","1","1278"
"2018 Primary Election","Statewide","Dekalb","Dekalb","Locality","United States Senator From Indiana","US Senator","30","Mike Braun","Republican","Yes","1","1804"
"2018 Primary Election","Statewide","Dekalb","Dekalb","Locality","United States Senator From Indiana","US Senator","30","Todd Rokita","Republican","No","1","1549"
"2018 Primary Election","Statewide","Delaware","Delaware","Locality","United States Senator From Indiana","US Senator","30","Joe Donnelly","Democratic","Yes","1","6403"
"2018 Primary Election","Statewide","Delaware","Delaware","Locality","United States Senator From Indiana","US Senator","30","Luke Messer","Republican","No","1","2895"
"2018 Primary Election","Statewide","Delaware","Delaware","Locality","United States Senator From Indiana","US Senator","30","Mike Braun","Republican","Yes","1","2379"
"2018 Primary Election","Statewide","Delaware","Delaware","Locality","United States Senator From Indiana","US Senator","30","Todd Rokita","Republican","No","1","1384"
"2018 Primary Election","Statewide","Dubois","Dubois","Locality","United States Senator From Indiana","US Senator","30","Joe Donnelly","Democratic","Yes","1","1460"
"2018 Primary Election","Statewide","Dubois","Dubois","Locality","United States Senator From Indiana","US Senator","30","Luke Messer","Republican","No","1","349"
"2018 Primary Election","Statewide","Dubois","Dubois","Locality","United States Senator From Indiana","US Senator","30","Mike Braun","Republican","Yes","1","3289"
"2018 Primary Election","Statewide","Dubois","Dubois","Locality","United States Senator From Indiana","US Senator","30","Todd Rokita","Republican","No","1","279"
"2018 Primary Election","Statewide","Elkhart","Elkhart","Locality","United States Senator From Indiana","US Senator","30","Joe Donnelly","Democratic","Yes","1","5788"
"2018 Primary Election","Statewide","Elkhart","Elkhart","Locality","United States Senator From Indiana","US Senator","30","Luke Messer","Republican","No","1","4155"
"2018 Primary Election","Statewide","Elkhart","Elkhart","Locality","United States Senator From Indiana","US Senator","30","Mike Braun","Republican","Yes","1","6300"
"2018 Primary Election","Statewide","Elkhart","Elkhart","Locality","United States Senator From Indiana","US Senator","30","Todd Rokita","Republican","No","1","5329"
"2018 Primary Election","Statewide","Fayette","Fayette","Locality","United States Senator From Indiana","US Senator","30","Joe Donnelly","Democratic","Yes","1","900"
"2018 Primary Election","Statewide","Fayette","Fayette","Locality","United States Senator From Indiana","US Senator","30","Luke Messer","Republican","No","1","803"
"2018 Primary Election","Statewide","Fayette","Fayette","Locality","United States Senator From Indiana","US Senator","30","Mike Braun","Republican","Yes","1","469"
"2018 Primary Election","Statewide","Fayette","Fayette","Locality","United States Senator From Indiana","US Senator","30","Todd Rokita","Republican","No","1","385"
"2018 Primary Election","Statewide","Floyd","Floyd","Locality","United States Senator From Indiana","US Senator","30","Joe Donnelly","Democratic","Yes","1","3956"
"2018 Primary Election","Statewide","Floyd","Floyd","Locality","United States Senator From Indiana","US Senator","30","Luke Messer","Republican","No","1","1404"
"2018 Primary Election","Statewide","Floyd","Floyd","Locality","United States Senator From Indiana","US Senator","30","Mike Braun","Republican","Yes","1","1921"
"2018 Primary Election","Statewide","Floyd","Floyd","Locality","United States Senator From Indiana","US Senator","30","Todd Rokita","Republican","No","1","950"
"2018 Primary Election","Statewide","Fountain","Fountain","Locality","United States Senator From Indiana","US Senator","30","Joe Donnelly","Democratic","Yes","1","315"
"2018 Primary Election","Statewide","Fountain","Fountain","Locality","United States Senator From Indiana","US Senator","30","Luke Messer","Republican","No","1","700"
"2018 Primary Election","Statewide","Fountain","Fountain","Locality","United States Senator From Indiana","US Senator","30","Mike Braun","Republican","Yes","1","1163"
"2018 Primary Election","Statewide","Fountain","Fountain","Locality","United States Senator From Indiana","US Senator","30","Todd Rokita","Republican","No","1","1393"
"2018 Primary Election","Statewide","Franklin","Franklin","Locality","United States Senator From Indiana","US Senator","30","Joe Donnelly","Democratic","Yes","1","480"
"2018 Primary Election","Statewide","Franklin","Franklin","Locality","United States Senator From Indiana","US Senator","30","Luke Messer","Republican","No","1","1926"
"2018 Primary Election","Statewide","Franklin","Franklin","Locality","United States Senator From Indiana","US Senator","30","Mike Braun","Republican","Yes","1","632"
"2018 Primary Election","Statewide","Franklin","Franklin","Locality","United States Senator From Indiana","US Senator","30","Todd Rokita","Republican","No","1","373"
"2018 Primary Election","Statewide","Fulton","Fulton","Locality","United States Senator From Indiana","US Senator","30","Joe Donnelly","Democratic","Yes","1","584"
"2018 Primary Election","Statewide","Fulton","Fulton","Locality","United States Senator From Indiana","US Senator","30","Luke Messer","Republican","No","1","568"
"2018 Primary Election","Statewide","Fulton","Fulton","Locality","United States Senator From Indiana","US Senator","30","Mike Braun","Republican","Yes","1","920"
"2018 Primary Election","Statewide","Fulton","Fulton","Locality","United States Senator From Indiana","US Senator","30","Todd Rokita","Republican","No","1","632"
"2018 Primary Election","Statewide","Gibson","Gibson","Locality","United States Senator From Indiana","US Senator","30","Joe Donnelly","Democratic","Yes","1","1032"
"2018 Primary Election","Statewide","Gibson","Gibson","Locality","United States Senator From Indiana","US Senator","30","Luke Messer","Republican","No","1","1075"
"2018 Primary Election","Statewide","Gibson","Gibson","Locality","United States Senator From Indiana","US Senator","30","Mike Braun","Republican","Yes","1","2454"
"2018 Primary Election","Statewide","Gibson","Gibson","Locality","United States Senator From Indiana","US Senator","30","Todd Rokita","Republican","No","1","942"
"2018 Primary Election","Statewide","Grant","Grant","Locality","United States Senator From Indiana","US Senator","30","Joe Donnelly","Democratic","Yes","1","1332"
"2018 Primary Election","Statewide","Grant","Grant","Locality","United States Senator From Indiana","US Senator","30","Luke Messer","Republican","No","1","2284"
"2018 Primary Election","Statewide","Grant","Grant","Locality","United States Senator From Indiana","US Senator","30","Mike Braun","Republican","Yes","1","2198"
"2018 Primary Election","Statewide","Grant","Grant","Locality","United States Senator From Indiana","US Senator","30","Todd Rokita","Republican","No","1","1987"
"2018 Primary Election","Statewide","Greene","Greene","Locality","United States Senator From Indiana","US Senator","30","Joe Donnelly","Democratic","Yes","1","991"
"2018 Primary Election","Statewide","Greene","Greene","Locality","United States Senator From Indiana","US Senator","30","Luke Messer","Republican","No","1","618"
"2018 Primary Election","Statewide","Greene","Greene","Locality","United States Senator From Indiana","US Senator","30","Mike Braun","Republican","Yes","1","1400"
"2018 Primary Election","Statewide","Greene","Greene","Locality","United States Senator From Indiana","US Senator","30","Todd Rokita","Republican","No","1","670"
"2018 Primary Election","Statewide","Hamilton","Hamilton","Locality","United States Senator From Indiana","US Senator","30","Joe Donnelly","Democratic","Yes","1","8378"
"2018 Primary Election","Statewide","Hamilton","Hamilton","Locality","United States Senator From Indiana","US Senator","30","Luke Messer","Republican","No","1","9964"
"2018 Primary Election","Statewide","Hamilton","Hamilton","Locality","United States Senator From Indiana","US Senator","30","Mike Braun","Republican","Yes","1","13666"
"2018 Primary Election","Statewide","Hamilton","Hamilton","Locality","United States Senator From Indiana","US Senator","30","Todd Rokita","Republican","No","1","8562"
"2018 Primary Election","Statewide","Hancock","Hancock","Locality","United States Senator From Indiana","US Senator","30","Joe Donnelly","Democratic","Yes","1","1237"
"2018 Primary Election","Statewide","Hancock","Hancock","Locality","United States Senator From Indiana","US Senator","30","Luke Messer","Republican","No","1","4979"
"2018 Primary Election","Statewide","Hancock","Hancock","Locality","United States Senator From Indiana","US Senator","30","Mike Braun","Republican","Yes","1","3872"
"2018 Primary Election","Statewide","Hancock","Hancock","Locality","United States Senator From Indiana","US Senator","30","Todd Rokita","Republican","No","1","2167"
"2018 Primary Election","Statewide","Harrison","Harrison","Locality","United States Senator From Indiana","US Senator","30","Joe Donnelly","Democratic","Yes","1","1803"
"2018 Primary Election","Statewide","Harrison","Harrison","Locality","United States Senator From Indiana","US Senator","30","Luke Messer","Republican","No","1","1602"
"2018 Primary Election","Statewide","Harrison","Harrison","Locality","United States Senator From Indiana","US Senator","30","Mike Braun","Republican","Yes","1","2220"
"2018 Primary Election","Statewide","Harrison","Harrison","Locality","United States Senator From Indiana","US Senator","30","Todd Rokita","Republican","No","1","1102"
"2018 Primary Election","Statewide","Hendricks","Hendricks","Locality","United States Senator From Indiana","US Senator","30","Joe Donnelly","Democratic","Yes","1","4978"
"2018 Primary Election","Statewide","Hendricks","Hendricks","Locality","United States Senator From Indiana","US Senator","30","Luke Messer","Republican","No","1","4032"
"2018 Primary Election","Statewide","Hendricks","Hendricks","Locality","United States Senator From Indiana","US Senator","30","Mike Braun","Republican","Yes","1","6762"
"2018 Primary Election","Statewide","Hendricks","Hendricks","Locality","United States Senator From Indiana","US Senator","30","Todd Rokita","Republican","No","1","6751"
"2018 Primary Election","Statewide","Henry","Henry","Locality","United States Senator From Indiana","US Senator","30","Joe Donnelly","Democratic","Yes","1","1220"
"2018 Primary Election","Statewide","Henry","Henry","Locality","United States Senator From Indiana","US Senator","30","Luke Messer","Republican","No","1","2331"
"2018 Primary Election","Statewide","Henry","Henry","Locality","United States Senator From Indiana","US Senator","30","Mike Braun","Republican","Yes","1","1783"
"2018 Primary Election","Statewide","Henry","Henry","Locality","United States Senator From Indiana","US Senator","30","Todd Rokita","Republican","No","1","1237"
"2018 Primary Election","Statewide","Howard","Howard","Locality","United States Senator From Indiana","US Senator","30","Joe Donnelly","Democratic","Yes","1","3072"
"2018 Primary Election","Statewide","Howard","Howard","Locality","United States Senator From Indiana","US Senator","30","Luke Messer","Republican","No","1","1680"
"2018 Primary Election","Statewide","Howard","Howard","Locality","United States Senator From Indiana","US Senator","30","Mike Braun","Republican","Yes","1","3081"
"2018 Primary Election","Statewide","Howard","Howard","Locality","United States Senator From Indiana","US Senator","30","Todd Rokita","Republican","No","1","2737"
"2018 Primary Election","Statewide","Huntington","Huntington","Locality","United States Senator From Indiana","US Senator","30","Joe Donnelly","Democratic","Yes","1","694"
"2018 Primary Election","Statewide","Huntington","Huntington","Locality","United States Senator From Indiana","US Senator","30","Luke Messer","Republican","No","1","1441"
"2018 Primary Election","Statewide","Huntington","Huntington","Locality","United States Senator From Indiana","US Senator","30","Mike Braun","Republican","Yes","1","1952"
"2018 Primary Election","Statewide","Huntington","Huntington","Locality","United States Senator From Indiana","US Senator","30","Todd Rokita","Republican","No","1","1763"
"2018 Primary Election","Statewide","Jackson","Jackson","Locality","United States Senator From Indiana","US Senator","30","Joe Donnelly","Democratic","Yes","1","1195"
"2018 Primary Election","Statewide","Jackson","Jackson","Locality","United States Senator From Indiana","US Senator","30","Luke Messer","Republican","No","1","2317"
"2018 Primary Election","Statewide","Jackson","Jackson","Locality","United States Senator From Indiana","US Senator","30","Mike Braun","Republican","Yes","1","2194"
"2018 Primary Election","Statewide","Jackson","Jackson","Locality","United States Senator From Indiana","US Senator","30","Todd Rokita","Republican","No","1","1408"
"2018 Primary Election","Statewide","Jasper","Jasper","Locality","United States Senator From Indiana","US Senator","30","Joe Donnelly","Democratic","Yes","1","698"
"2018 Primary Election","Statewide","Jasper","Jasper","Locality","United States Senator From Indiana","US Senator","30","Luke Messer","Republican","No","1","797"
"2018 Primary Election","Statewide","Jasper","Jasper","Locality","United States Senator From Indiana","US Senator","30","Mike Braun","Republican","Yes","1","2132"
"2018 Primary Election","Statewide","Jasper","Jasper","Locality","United States Senator From Indiana","US Senator","30","Todd Rokita","Republican","No","1","1562"
"2018 Primary Election","Statewide","Jay","Jay","Locality","United States Senator From Indiana","US Senator","30","Joe Donnelly","Democratic","Yes","1","536"
"2018 Primary Election","Statewide","Jay","Jay","Locality","United States Senator From Indiana","US Senator","30","Luke Messer","Republican","No","1","721"
"2018 Primary Election","Statewide","Jay","Jay","Locality","United States Senator From Indiana","US Senator","30","Mike Braun","Republican","Yes","1","1075"
"2018 Primary Election","Statewide","Jay","Jay","Locality","United States Senator From Indiana","US Senator","30","Todd Rokita","Republican","No","1","791"
"2018 Primary Election","Statewide","Jefferson","Jefferson","Locality","United States Senator From Indiana","US Senator","30","Joe Donnelly","Democratic","Yes","1","1555"
"2018 Primary Election","Statewide","Jefferson","Jefferson","Locality","United States Senator From Indiana","US Senator","30","Luke Messer","Republican","No","1","1078"
"2018 Primary Election","Statewide","Jefferson","Jefferson","Locality","United States Senator From Indiana","US Senator","30","Mike Braun","Republican","Yes","1","495"
"2018 Primary Election","Statewide","Jefferson","Jefferson","Locality","United States Senator From Indiana","US Senator","30","Todd Rokita","Republican","No","1","293"
"2018 Primary Election","Statewide","Jennings","Jennings","Locality","United States Senator From Indiana","US Senator","30","Joe Donnelly","Democratic","Yes","1","1002"
"2018 Primary Election","Statewide","Jennings","Jennings","Locality","United States Senator From Indiana","US Senator","30","Luke Messer","Republican","No","1","1249"
"2018 Primary Election","Statewide","Jennings","Jennings","Locality","United States Senator From Indiana","US Senator","30","Mike Braun","Republican","Yes","1","583"
"2018 Primary Election","Statewide","Jennings","Jennings","Locality","United States Senator From Indiana","US Senator","30","Todd Rokita","Republican","No","1","366"
"2018 Primary Election","Statewide","Johnson","Johnson","Locality","United States Senator From Indiana","US Senator","30","Joe Donnelly","Democratic","Yes","1","3157"
"2018 Primary Election","Statewide","Johnson","Johnson","Locality","United States Senator From Indiana","US Senator","30","Luke Messer","Republican","No","1","4059"
"2018 Primary Election","Statewide","Johnson","Johnson","Locality","United States Senator From Indiana","US Senator","30","Mike Braun","Republican","Yes","1","6176"
"2018 Primary Election","Statewide","Johnson","Johnson","Locality","United States Senator From Indiana","US Senator","30","Todd Rokita","Republican","No","1","4168"
"2018 Primary Election","Statewide","Knox","Knox","Locality","United States Senator From Indiana","US Senator","30","Joe Donnelly","Democratic","Yes","1","1451"
"2018 Primary Election","Statewide","Knox","Knox","Locality","United States Senator From Indiana","US Senator","30","Luke Messer","Republican","No","1","1182"
"2018 Primary Election","Statewide","Knox","Knox","Locality","United States Senator From Indiana","US Senator","30","Mike Braun","Republican","Yes","1","2558"
"2018 Primary Election","Statewide","Knox","Knox","Locality","United States Senator From Indiana","US Senator","30","Todd Rokita","Republican","No","1","989"
"2018 Primary Election","Statewide","Kosciusko","Kosciusko","Locality","United States Senator From Indiana","US Senator","30","Joe Donnelly","Democratic","Yes","1","1158"
"2018 Primary Election","Statewide","Kosciusko","Kosciusko","Locality","United States Senator From Indiana","US Senator","30","Luke Messer","Republican","No","1","3325"
"2018 Primary Election","Statewide","Kosciusko","Kosciusko","Locality","United States Senator From Indiana","US Senator","30","Mike Braun","Republican","Yes","1","4350"
"2018 Primary Election","Statewide","Kosciusko","Kosciusko","Locality","United States Senator From Indiana","US Senator","30","Todd Rokita","Republican","No","1","3449"
"2018 Primary Election","Statewide","Lagrange","Lagrange","Locality","United States Senator From Indiana","US Senator","30","Joe Donnelly","Democratic","Yes","1","383"
"2018 Primary Election","Statewide","Lagrange","Lagrange","Locality","United States Senator From Indiana","US Senator","30","Luke Messer","Republican","No","1","920"
"2018 Primary Election","Statewide","Lagrange","Lagrange","Locality","United States Senator From Indiana","US Senator","30","Mike Braun","Republican","Yes","1","1265"
"2018 Primary Election","Statewide","Lagrange","Lagrange","Locality","United States Senator From Indiana","US Senator","30","Todd Rokita","Republican","No","1","1071"
"2018 Primary Election","Statewide","Lake","Lake","Locality","United States Senator From Indiana","US Senator","30","Joe Donnelly","Democratic","Yes","1","34489"
"2018 Primary Election","Statewide","Lake","Lake","Locality","United States Senator From Indiana","US Senator","30","Luke Messer","Republican","No","1","2102"
"2018 Primary Election","Statewide","Lake","Lake","Locality","United States Senator From Indiana","US Senator","30","Mike Braun","Republican","Yes","1","5667"
"2018 Primary Election","Statewide","Lake","Lake","Locality","United States Senator From Indiana","US Senator","30","Todd Rokita","Republican","No","1","6102"
"2018 Primary Election","Statewide","Laporte","Laporte","Locality","United States Senator From Indiana","US Senator","30","Joe Donnelly","Democratic","Yes","1","6492"
"2018 Primary Election","Statewide","Laporte","Laporte","Locality","United States Senator From Indiana","US Senator","30","Luke Messer","Republican","No","1","931"
"2018 Primary Election","Statewide","Laporte","Laporte","Locality","United States Senator From Indiana","US Senator","30","Mike Braun","Republican","Yes","1","2169"
"2018 Primary Election","Statewide","Laporte","Laporte","Locality","United States Senator From Indiana","US Senator","30","Todd Rokita","Republican","No","1","1429"
"2018 Primary Election","Statewide","Lawrence","Lawrence","Locality","United States Senator From Indiana","US Senator","30","Joe Donnelly","Democratic","Yes","1","999"
"2018 Primary Election","Statewide","Lawrence","Lawrence","Locality","United States Senator From Indiana","US Senator","30","Luke Messer","Republican","No","1","1060"
"2018 Primary Election","Statewide","Lawrence","Lawrence","Locality","United States Senator From Indiana","US Senator","30","Mike Braun","Republican","Yes","1","1809"
"2018 Primary Election","Statewide","Lawrence","Lawrence","Locality","United States Senator From Indiana","US Senator","30","Todd Rokita","Republican","No","1","1814"
"2018 Primary Election","Statewide","Madison","Madison","Locality","United States Senator From Indiana","US Senator","30","Joe Donnelly","Democratic","Yes","1","8542"
"2018 Primary Election","Statewide","Madison","Madison","Locality","United States Senator From Indiana","US Senator","30","Luke Messer","Republican","No","1","3160"
"2018 Primary Election","Statewide","Madison","Madison","Locality","United States Senator From Indiana","US Senator","30","Mike Braun","Republican","Yes","1","3929"
"2018 Primary Election","Statewide","Madison","Madison","Locality","United States Senator From Indiana","US Senator","30","Todd Rokita","Republican","No","1","2865"
"2018 Primary Election","Statewide","Marion","Marion","Locality","United States Senator From Indiana","US Senator","30","Joe Donnelly","Democratic","Yes","1","55833"
"2018 Primary Election","Statewide","Marion","Marion","Locality","United States Senator From Indiana","US Senator","30","Luke Messer","Republican","No","1","11137"
"2018 Primary Election","Statewide","Marion","Marion","Locality","United States Senator From Indiana","US Senator","30","Mike Braun","Republican","Yes","1","16495"
"2018 Primary Election","Statewide","Marion","Marion","Locality","United States Senator From Indiana","US Senator","30","Todd Rokita","Republican","No","1","10295"
"2018 Primary Election","Statewide","Marshall","Marshall","Locality","United States Senator From Indiana","US Senator","30","Joe Donnelly","Democratic","Yes","1","1252"
"2018 Primary Election","Statewide","Marshall","Marshall","Locality","United States Senator From Indiana","US Senator","30","Luke Messer","Republican","No","1","1106"
"2018 Primary Election","Statewide","Marshall","Marshall","Locality","United States Senator From Indiana","US Senator","30","Mike Braun","Republican","Yes","1","1878"
"2018 Primary Election","Statewide","Marshall","Marshall","Locality","United States Senator From Indiana","US Senator","30","Todd Rokita","Republican","No","1","1324"
"2018 Primary Election","Statewide","Martin","Martin","Locality","United States Senator From Indiana","US Senator","30","Joe Donnelly","Democratic","Yes","1","781"
"2018 Primary Election","Statewide","Martin","Martin","Locality","United States Senator From Indiana","US Senator","30","Luke Messer","Republican","No","1","233"
"2018 Primary Election","Statewide","Martin","Martin","Locality","United States Senator From Indiana","US Senator","30","Mike Braun","Republican","Yes","1","748"
"2018 Primary Election","Statewide","Martin","Martin","Locality","United States Senator From Indiana","US Senator","30","Todd Rokita","Republican","No","1","173"
"2018 Primary Election","Statewide","Miami","Miami","Locality","United States Senator From Indiana","US Senator","30","Joe Donnelly","Democratic","Yes","1","634"
"2018 Primary Election","Statewide","Miami","Miami","Locality","United States Senator From Indiana","US Senator","30","Luke Messer","Republican","No","1","999"
