counties,race name,candidate,party,votes
Salt Lake,Republican for U.S. Senate,MITT ROMNEY (REP),Republican,69039
San Juan,Republican for U.S. Senate,MIKE KENNEDY (REP),Republican,622
San Juan,Republican for U.S. Senate,MITT ROMNEY (REP),Republican,927
Sanpete,Republican for U.S. Senate,MIKE KENNEDY (REP),Republican,1363
Sanpete,Republican for U.S. Senate,MITT ROMNEY (REP),Republican,2758
Sevier,Republican for U.S. Senate,MIKE KENNEDY (REP),Republican,1566
Sevier,Republican for U.S. Senate,MITT ROMNEY (REP),Republican,2266
Summit,Republican for U.S. Senate,MIKE KENNEDY (REP),Republican,1121
Summit,Republican for U.S. Senate,MITT ROMNEY (REP),Republican,2527
Tooele,Republican for U.S. Senate,MIKE KENNEDY (REP),Republican,1917
Tooele,Republican for U.S. Senate,MITT ROMNEY (REP),Republican,4080
Uintah,Republican for U.S. Senate,MIKE KENNEDY (REP),Republican,3151
Uintah,Republican for U.S. Senate,MITT ROMNEY (REP),Republican,3258
Utah,Republican for U.S. Senate,MIKE KENNEDY (REP),Republican,12395
Utah,Republican for U.S. Senate,MITT ROMNEY (REP),Republican,38667
Wasatch,Republican for U.S. Senate,MIKE KENNEDY (REP),Republican,1104
Wasatch,Republican for U.S. Senate,MITT ROMNEY (REP),Republican,3047
Washington,Republican for U.S. Senate,MIKE KENNEDY (REP),Republican,8439
Washington,Republican for U.S. Senate,MITT ROMNEY (REP),Republican,10705
Wayne,Republican for U.S. Senate,MIKE KENNEDY (REP),Republican,244
Wayne,Republican for U.S. Senate,MITT ROMNEY (REP),Republican,418
Weber,Republican for U.S. Senate,MIKE KENNEDY (REP),Republican,6602
Weber,Republican for U.S. Senate,MITT ROMNEY (REP),Republican,14413
Total,Democratic for U.S. House 1,KURT WEILAND (DEM),Democratic,4988
Total,Democratic for U.S. House 1,LEE CASTILLO (DEM),Democratic,6485
Box Elder,Democratic for U.S. House 1,KURT WEILAND (DEM),Democratic,109
Box Elder,Democratic for U.S. House 1,LEE CASTILLO (DEM),Democratic,188
Cache,Democratic for U.S. House 1,KURT WEILAND (DEM),Democratic,1141
Cache,Democratic for U.S. House 1,LEE CASTILLO (DEM),Democratic,1392
Daggett,Democratic for U.S. House 1,KURT WEILAND (DEM),Democratic,9
Daggett,Democratic for U.S. House 1,LEE CASTILLO (DEM),Democratic,4
Davis,Democratic for U.S. House 1,KURT WEILAND (DEM),Democratic,1238
Davis,Democratic for U.S. House 1,LEE CASTILLO (DEM),Democratic,1851
Duchesne,Democratic for U.S. House 1,KURT WEILAND (DEM),Democratic,73
Duchesne,Democratic for U.S. House 1,LEE CASTILLO (DEM),Democratic,74
Morgan,Democratic for U.S. House 1,KURT WEILAND (DEM),Democratic,66
Morgan,Democratic for U.S. House 1,LEE CASTILLO (DEM),Democratic,49
Rich,Democratic for U.S. House 1,KURT WEILAND (DEM),Democratic,13
Rich,Democratic for U.S. House 1,LEE CASTILLO (DEM),Democratic,12
Summit,Democratic for U.S. House 1,KURT WEILAND (DEM),Democratic,635
Summit,Democratic for U.S. House 1,LEE CASTILLO (DEM),Democratic,775
Uintah,Democratic for U.S. House 1,KURT WEILAND (DEM),Democratic,181
Uintah,Democratic for U.S. House 1,LEE CASTILLO (DEM),Democratic,206
Weber,Democratic for U.S. House 1,KURT WEILAND (DEM),Democratic,1523
Weber,Democratic for U.S. House 1,LEE CASTILLO (DEM),Democratic,1934
Total,Republican for U.S. House 3,CHRISTOPHER N. HERROD (REP),Republican,19600
Total,Republican for U.S. House 3,JOHN CURTIS (REP),Republican,56817
Carbon,Republican for U.S. House 3,CHRISTOPHER N. HERROD (REP),Republican,362
Carbon,Republican for U.S. House 3,JOHN CURTIS (REP),Republican,1486
Emery,Republican for U.S. House 3,CHRISTOPHER N. HERROD (REP),Republican,285
Emery,Republican for U.S. House 3,JOHN CURTIS (REP),Republican,1425
Grand,Republican for U.S. House 3,CHRISTOPHER N. HERROD (REP),Republican,280
Grand,Republican for U.S. House 3,JOHN CURTIS (REP),Republican,711
Salt Lake,Republican for U.S. House 3,CHRISTOPHER N. HERROD (REP),Republican,5284
Salt Lake,Republican for U.S. House 3,JOHN CURTIS (REP),Republican,17279
San Juan,Republican for U.S. House 3,CHRISTOPHER N. HERROD (REP),Republican,650
San Juan,Republican for U.S. House 3,JOHN CURTIS (REP),Republican,840
Utah,Republican for U.S. House 3,CHRISTOPHER N. HERROD (REP),Republican,11832
Utah,Republican for U.S. House 3,JOHN CURTIS (REP),Republican,32056
Wasatch,Republican for U.S. House 3,CHRISTOPHER N. HERROD (REP),Republican,907
Wasatch,Republican for U.S. House 3,JOHN CURTIS (REP),Republican,3020
Total,Democratic for State Senate 2,DEREK LLOYD KITCHEN (DEM),Democratic,4996
Total,Democratic for State Senate 2,JENNIFER PLUMB (DEM),Democratic,4485
Salt Lake,Democratic for State Senate 2,DEREK LLOYD KITCHEN (DEM),Democratic,4996
Salt Lake,Democratic for State Senate 2,JENNIFER PLUMB (DEM),Democratic,4485
Total,Republican for State Senate 3,JEREMY D. EGAN (REP),Republican,2331
Total,Republican for State Senate 3,MARLIN R. BAER (REP),Republican,1655
Salt Lake,Republican for State Senate 3,JEREMY D. EGAN (REP),Republican,2331
Salt Lake,Republican for State Senate 3,MARLIN R. BAER (REP),Republican,1655
Total,Republican for State Senate 8 (2 year term),BRIAN ZEHNDER (REP),Republican,5637
Total,Republican for State Senate 8 (2 year term),JAREN L. DAVIS (REP),Republican,3501
Salt Lake,Republican for State Senate 8 (2 year term),BRIAN ZEHNDER (REP),Republican,5637
Salt Lake,Republican for State Senate 8 (2 year term),JAREN L. DAVIS (REP),Republican,3501
Total,Republican for State Senate 17 (Multi County),CLARK N. DAVIS (REP),Republican,5950
Total,Republican for State Senate 17 (Multi County),SCOTT SANDALL (REP),Republican,6660
Box Elder,Republican for State Senate 17 (Multi County),CLARK N. DAVIS (REP),Republican,3412
Box Elder,Republican for State Senate 17 (Multi County),SCOTT SANDALL (REP),Republican,4102
Cache,Republican for State Senate 17 (Multi County),CLARK N. DAVIS (REP),Republican,1009
Cache,Republican for State Senate 17 (Multi County),SCOTT SANDALL (REP),Republican,1080
Tooele,Republican for State Senate 17 (Multi County),CLARK N. DAVIS (REP),Republican,1529
Tooele,Republican for State Senate 17 (Multi County),SCOTT SANDALL (REP),Republican,1478
Total,Democratic for State Senate 26 (Multi County),EILEEN GALLAGHER (DEM),Democratic,1278
Total,Democratic for State Senate 26 (Multi County),PAT VAUGHN (DEM),Democratic,783
Daggett,Democratic for State Senate 26 (Multi County),EILEEN GALLAGHER (DEM),Democratic,8
Daggett,Democratic for State Senate 26 (Multi County),PAT VAUGHN (DEM),Democratic,5
Duchesne,Democratic for State Senate 26 (Multi County),EILEEN GALLAGHER (DEM),Democratic,85
Duchesne,Democratic for State Senate 26 (Multi County),PAT VAUGHN (DEM),Democratic,62
Summit,Democratic for State Senate 26 (Multi County),EILEEN GALLAGHER (DEM),Democratic,675
Summit,Democratic for State Senate 26 (Multi County),PAT VAUGHN (DEM),Democratic,283
Uintah,Democratic for State Senate 26 (Multi County),EILEEN GALLAGHER (DEM),Democratic,227
Uintah,Democratic for State Senate 26 (Multi County),PAT VAUGHN (DEM),Democratic,160
Wasatch,Democratic for State Senate 26 (Multi County),EILEEN GALLAGHER (DEM),Democratic,283
Wasatch,Democratic for State Senate 26 (Multi County),PAT VAUGHN (DEM),Democratic,273
Total,Republican for State Senate 26 (Multi County),BRIAN K. GORUM (REP),Republican,5211
Total,Republican for State Senate 26 (Multi County),JACK RUBIN (REP),Republican,3510
Total,Republican for State Senate 26 (Multi County),RONALD WINTERTON (REP),Republican,6678
Daggett,Republican for State Senate 26 (Multi County),BRIAN K. GORUM (REP),Republican,82
Daggett,Republican for State Senate 26 (Multi County),JACK RUBIN (REP),Republican,57
Daggett,Republican for State Senate 26 (Multi County),RONALD WINTERTON (REP),Republican,94
Duchesne,Republican for State Senate 26 (Multi County),BRIAN K. GORUM (REP),Republican,604
Duchesne,Republican for State Senate 26 (Multi County),JACK RUBIN (REP),Republican,266
Duchesne,Republican for State Senate 26 (Multi County),RONALD WINTERTON (REP),Republican,2644
Summit,Republican for State Senate 26 (Multi County),BRIAN K. GORUM (REP),Republican,183
Summit,Republican for State Senate 26 (Multi County),JACK RUBIN (REP),Republican,1336
Summit,Republican for State Senate 26 (Multi County),RONALD WINTERTON (REP),Republican,587
Uintah,Republican for State Senate 26 (Multi County),BRIAN K. GORUM (REP),Republican,4047
Uintah,Republican for State Senate 26 (Multi County),JACK RUBIN (REP),Republican,405
Uintah,Republican for State Senate 26 (Multi County),RONALD WINTERTON (REP),Republican,1933
Wasatch,Republican for State Senate 26 (Multi County),BRIAN K. GORUM (REP),Republican,295
Wasatch,Republican for State Senate 26 (Multi County),JACK RUBIN (REP),Republican,1446
Wasatch,Republican for State Senate 26 (Multi County),RONALD WINTERTON (REP),Republican,1420
Total,Republican for State House 4,DAN N. JOHNSON (REP),Republican,1390
Total,Republican for State House 4,GREG MERRILL (REP),Republican,1135
Cache,Republican for State House 4,DAN N. JOHNSON (REP),Republican,1390
Cache,Republican for State House 4,GREG MERRILL (REP),Republican,1135
Total,Republican for State House 7,KYLE R. ANDERSEN (REP),Republican,2569
Total,Republican for State House 7,LISA ROSKELLEY (REP),Republican,1804
Weber,Republican for State House 7,KYLE R. ANDERSEN (REP),Republican,2569
Weber,Republican for State House 7,LISA ROSKELLEY (REP),Republican,1804
Total,Republican for State House 8,JASON B. KYLE (REP),Republican,1236
Total,Republican for State House 8,STEVE WALDRIP (REP),Republican,1778
Weber,Republican for State House 8,JASON B. KYLE (REP),Republican,1236
Weber,Republican for State House 8,STEVE WALDRIP (REP),Republican,1778
Total,Republican for State House 10,LORRAINE P. BROWN (REP),Republican,1329
Total,Republican for State House 10,TERRY D SCHOW (REP),Republican,1005
Weber,Republican for State House 10,LORRAINE P. BROWN (REP),Republican,1329
Weber,Republican for State House 10,TERRY D SCHOW (REP),Republican,1005
Total,Republican for State House 19,PHILL WRIGHT (REP),Republican,2226
Total,Republican for State House 19,RAYMOND WARD (REP),Republican,4424
Davis,Republican for State House 19,PHILL WRIGHT (REP),Republican,2226
Davis,Republican for State House 19,RAYMOND WARD (REP),Republican,4424
Total,Republican for State House 20,GLEN G. JENKINS (REP),Republican,1050
Total,Republican for State House 20,MATT JENSEN (REP),Republican,1881
Total,Republican for State House 20,MELISSA GARFF BALLARD (REP),Republican,2103
Davis,Republican for State House 20,GLEN G. JENKINS (REP),Republican,1050
Davis,Republican for State House 20,MATT JENSEN (REP),Republican,1881
Davis,Republican for State House 20,MELISSA GARFF BALLARD (REP),Republican,2103
Total,Democratic for State House 24,DARIN MANN (DEM),Democratic,594
Total,Democratic for State House 24,IGOR LIMANSKY (DEM),Democratic,1468
Total,Democratic for State House 24,JACQUELYN ORTON (DEM),Democratic,794
Total,Democratic for State House 24,JEN DAILEY-PROVOST (DEM),Democratic,1552
Salt Lake,Democratic for State House 24,DARIN MANN (DEM),Democratic,594
Salt Lake,Democratic for State House 24,IGOR LIMANSKY (DEM),Democratic,1468
Salt Lake,Democratic for State House 24,JACQUELYN ORTON (DEM),Democratic,794
Salt Lake,Democratic for State House 24,JEN DAILEY-PROVOST (DEM),Democratic,1552
Total,Republican for State House 27,BRADY BRAMMER (REP),Republican,2739
Total,Republican for State House 27,JARED CARMAN (REP),Republican,2004
Utah,Republican for State House 27,BRADY BRAMMER (REP),Republican,2739
Utah,Republican for State House 27,JARED CARMAN (REP),Republican,2004
Total,Republican for State House 57,ALEXANDER CARTER (REP),Republican,1619
Total,Republican for State House 57,JON HAWKINS (REP),Republican,2228
Utah,Republican for State House 57,ALEXANDER CARTER (REP),Republican,1619
Utah,Republican for State House 57,JON HAWKINS (REP),Republican,2228
Total,Republican for State House 61,MARSHA JUDKINS (REP),Republican,2040
Total,Republican for State House 61,PARL JOHNSON (REP),Republican,1301
Utah,Republican for State House 61,MARSHA JUDKINS (REP),Republican,2040
Utah,Republican for State House 61,PARL JOHNSON (REP),Republican,1301
Total,Republican for State House 69 (Multi County),CHRISTINE F. WATKINS (REP),Republican,2436
Total,Republican for State House 69 (Multi County),JAE POTTER (REP),Republican,1558
Carbon,Republican for State House 69 (Multi County),CHRISTINE F. WATKINS (REP),Republican,1202
Carbon,Republican for State House 69 (Multi County),JAE POTTER (REP),Republican,696
Duchesne,Republican for State House 69 (Multi County),CHRISTINE F. WATKINS (REP),Republican,913
Duchesne,Republican for State House 69 (Multi County),JAE POTTER (REP),Republican,716
Emery,Republican for State House 69 (Multi County),CHRISTINE F. WATKINS (REP),Republican,95
Emery,Republican for State House 69 (Multi County),JAE POTTER (REP),Republican,21
Grand,Republican for State House 69 (Multi County),CHRISTINE F. WATKINS (REP),Republican,226
Grand,Republican for State House 69 (Multi County),JAE POTTER (REP),Republican,125
Total,Republican for State House 71 (Multi County),BRAD LAST (REP),Republican,4028
Total,Republican for State House 71 (Multi County),MARK S. BOROWIAK (REP),Republican,1471
Iron,Republican for State House 71 (Multi County),BRAD LAST (REP),Republican,1367
Iron,Republican for State House 71 (Multi County),MARK S. BOROWIAK (REP),Republican,348
Washington,Republican for State House 71 (Multi County),BRAD LAST (REP),Republican,2661
Washington,Republican for State House 71 (Multi County),MARK S. BOROWIAK (REP),Republican,1123
