counties,race name,candidate,party,votes
Uintah,Republican for Commissioner B,DUANE W SHEPHERD,REPUBLICAN,1874
Uintah,Republican for Sheriff,STEVE LABRUM,REPUBLICAN,4022
Uintah,Republican for Sheriff,LEONARD F. ISAACSON,REPUBLICAN,2361
Uintah,School Board District 1,"HARLAN ""SCOOT"" WILKINS",,540
Uintah,School Board District 1,LORI GILLMAN,,430
Uintah,School Board District 1,RODNEY S. ANDERSON,,357
Uintah,School Board District 1,STEPHEN BORTON,,167
Utah,Republican for County Attorney,DAVID O. LEAVITT,REPUBLICAN,28284
Utah,Republican for County Attorney,CHAD GRUNANDER,REPUBLICAN,19857
Utah,Republican for County Commission Seat A,TANNER AINGE,REPUBLICAN,33814
Utah,Republican for County Commission Seat A,THOMAS V. SAKIEVICH,REPUBLICAN,14622
Utah,Republican for County Sheriff,MIKE SMITH,REPUBLICAN,30033
Utah,Republican for County Sheriff,JIM PHELPS,REPUBLICAN,18350
Utah,Alpine School Board 3,SARAH BEESON,,2555
Utah,Alpine School Board 3,'AFA K. PALU,,1014
Utah,Alpine School Board 3,KARA SHERMAN,,918
Utah,Nebo School Board 4,RICK B. AINGE,,1152
Utah,Nebo School Board 4,DREW DANIELS,,736
Utah,Nebo School Board 4,LARRY BALLARD,,396
Wasatch,Republican for Attorney,SCOTT H SWEAT,REPUBLICAN,1382
Wasatch,Republican for Attorney,TYLER J. BERG,REPUBLICAN,1100
Wasatch,Republican for Attorney,TYLER R. DOW,REPUBLICAN,889
Wasatch,Republican for Attorney,KIT R. KOSAKOWSKI,REPUBLICAN,563
Wasatch,Republican for County Council At Large A 7,MARILYN CRITTENDEN,REPUBLICAN,2094
Wasatch,Republican for County Council At Large A 7,ALAN WAYNE MCDONALD,REPUBLICAN,1842
Wasatch,Republican for County Council County East F 3,JEFF WADE,REPUBLICAN,484
Wasatch,Republican for County Council County East F 3,KIMO PAULSEN,REPUBLICAN,303
Washington,Republican for County Commission Seat A,GIL ALMQUIST,REPUBLICAN,12250
Washington,Republican for County Commission Seat A,ALLEN J DAVIS,REPUBLICAN,6250
Weber,Republican for Weber County Commissoner A,GAGE FROERER,REPUBLICAN,10943
Weber,Republican for Weber County Commissoner A,JAMES EBERT,REPUBLICAN,4996
Weber,Republican for Weber County Commissoner A,JAMES J. COUTS,REPUBLICAN,4468
Weber,Republican for Weber County Sheriff,RYAN ARBON,REPUBLICAN,10827
Weber,Republican for Weber County Sheriff,KEVIN BURNS,REPUBLICAN,5291
Weber,Republican for Weber County Sheriff,DAVID MACINNES,REPUBLICAN,3958
Weber,Ogden School Board District 2,DOUGLAS B. BARKER,,501
Weber,Ogden School Board District 2,DAVID L. SMITH,,373
Weber,Ogden School Board District 2,OSCAR L. MATA,,303
Weber,Ogden School Board District 4,SUNNI WILKINSON,,415
Weber,Ogden School Board District 4,IAIN HUETON,,228
Weber,Ogden School Board District 4,SHELDON CHESHIRE,,183
Weber,Weber School Board District 4,PAUL J. WIDDISON,,2155
Weber,Weber School Board District 4,STACY PALEN,,1220
Weber,Weber School Board District 4,BRICE LYTHGOE,,883
Weber,Weber School Board District 4,EDWARD N. PETERS,,304
